paper_id,paper,对象归属度,材料归属度,范畴自主度,解释目标归属度,体系映射度,五轴总分,强度,一致性,需复核,R2模式
36,666062640_俞小海_2015_交大法学_破坏计算机信息系统罪之司法实践分析与规范含义重构.md,2,2,1,2,2,9,strong,medium,False,full
37,666062641_胡加祥_2015_交大法学_世贸组织争端解决机制二十年回眸——以补偿机制为视角.md,0,0,0,0,0,0,absent,high,False,skip
38,666062642_胡滨斌_2015_交大法学_定牌加工商标侵权认定若干问题之反思——以“无锡艾弗公司诉香港鳄鱼恤公司”案为例.md,2,2,1,2,2,9,strong,medium,False,full
39,667188098_艾卡·雷宾德和王曦_2015_交大法学_欧盟和德国的环境保护集体诉讼.md,0,0,0,0,0,0,absent,medium,False,full
40,667188099_大久保规子和汝思思_2015_交大法学_环境公益诉讼与行政诉讼的原告适格——欧盟各国的发展情况.md,0,0,0,0,0,0,absent,high,False,full
41,667188100_王曦和张岩_2015_交大法学_论美国环境公民诉讼制度.md,0,0,0,1,0,1,absent,high,False,full
42,667188101_侯佳儒_2015_交大法学_环境公益诉讼的美国蓝本与中国借鉴.md,2,1,2,2,2,9,strong,high,False,full
43,667188102_吴然_2015_交大法学_合法性判准的道德性：重访哈特富勒之争.md,0,0,0,0,0,0,absent,high,False,skip
44,667188103_徐向华和林彦_2015_交大法学_《立法法》修正案评析.md,2,2,1,2,1,8,strong,medium,False,full
45,667188104_黄茂荣_2015_交大法学_核实课征原则之实践及其司法审查.md,0,0,0,0,1,1,absent,medium,False,full
46,667188105_万江_2015_交大法学_农村土地确权规则的选择——基于S市的经验研究.md,2,2,2,2,2,10,strong,high,False,skip
47,667188106_熊文聪_2015_交大法学_作品“独创性”概念的法经济分析.md,2,2,1,2,2,9,strong,high,False,light
48,667188107_于佳佳_2015_交大法学_日本轻微犯罪处理机制的经验与启示.md,1,0,0,1,0,2,weak,medium,False,full
49,667188108_徐国栋_2015_交大法学_《十二表法》的制定、灭失与还原（下）.md,0,0,0,0,0,0,absent,high,False,skip
50,667188109_其木提_2015_交大法学_论浮动账户质押的法律效力——“中国农业发展银行安徽省分行诉张大标、安徽长江融资担保集团有限公司保证金质权确认之诉纠纷案”评释.md,2,2,1,2,1,8,strong,medium,False,full
51,668314482_刘思达等_2016_交大法学_社科法学三人谈：国际视野与本土经验.md,2,2,1,2,2,9,strong,high,False,skip
52,668314483_刘思达_2016_交大法学_美国“法律与社会运动”的兴起与批判——兼议中国社科法学的未来走向.md,1,1,0,1,1,4,weak,medium,False,full
53,668314484_孙少石_2016_交大法学_知识生产的另一种可能——对社科法学的述评.md,2,2,2,2,2,10,strong,high,False,full
54,668314485_华雨_2016_交大法学_法实证主义命题群的历史演变.md,0,0,0,0,0,0,absent,high,False,skip
55,668314486_田勇军_2016_交大法学_交通行政处罚中“一事不再罚”之“一事”问题探析.md,2,2,2,2,2,10,strong,high,False,light
56,668314487_崔建远_2016_交大法学_知识产权法之于民法典.md,2,2,2,2,2,10,strong,high,False,full
57,668314488_曾品杰_2016_交大法学_论人工胚胎之法律地位——从法国法谈起.md,2,1,1,2,2,8,strong,medium,False,full
58,668314489_喻浩东_2016_交大法学_“基于合意的他者危险化”与被害人自我答责——兼论中国语境下的归责问题.md,1,0,0,2,2,5,medium,low,True,full
59,668314490_伊曼·安纳布塔维等_2016_交大法学_事后监管：法律如何应对金融市场失灵.md,0,0,0,0,0,0,absent,medium,False,full
60,668314491_朱晓喆和冯洁语_2016_交大法学_产品自损、纯粹经济损失与侵权责任——以最高人民法院（2013）民申字第908号民事裁定书为切入点.md,2,2,2,2,2,10,strong,high,False,skip
61,668988950_陈可倩和龚自力_2016_交大法学_白领犯罪前沿问题——白领犯罪国际研讨会会议综述.md,1,1,0,0,0,2,weak,medium,False,full
62,668988951_肖凯_2016_交大法学_高频交易与操纵市场.md,2,1,1,2,1,7,medium,high,False,skip
63,668988952_尹云霞等_2016_交大法学_企业能动性与反腐败“辐射型执法效应”——美国FCPA合作机制的启示.md,2,1,0,2,1,6,medium,high,False,full
64,668988953_高振翔_2016_交大法学_互联网金融语境中的非法集资风险及其刑法规制.md,2,2,1,2,1,8,strong,high,False,full
65,668988954_卢西恩·E.德尔文和朱霁康_2016_交大法学_国际白领犯罪与国际化的内部调查.md,0,0,0,0,0,0,absent,high,False,skip
66,668988955_叶会成_2016_交大法学_还原论与描述性法哲学是否可能？——评马默的《法哲学》.md,0,0,0,0,0,0,absent,high,False,skip
67,668988956_李凤章_2016_交大法学_开发权视角下的小产权房及其处理——以深圳经验为例.md,2,2,1,2,2,9,strong,medium,False,full
68,668988957_张昊天_2016_交大法学_论公共企业的信息公开主体资格.md,2,2,2,2,2,10,strong,high,False,full
69,668988958_张建伟_2016_交大法学_制度基因、金融发展与“法律家长主义”进和退（上）——功能视角下的“中国悖论”及求解.md,2,2,2,2,2,10,strong,high,False,skip
70,668988959_吉冠浩_2016_交大法学_读解辩护人妨害作证罪——以指导案例为研究对象.md,2,2,1,2,1,8,strong,high,False,skip
71,668988960_章剑生_2016_交大法学_行政允诺的认定及其裁判方式——黄银友等诉湖北省大冶市政府、大冶市保安镇政府行政允诺案评析保安镇政府行政允诺案评析.md,2,2,2,2,2,10,strong,high,False,light
72,670037397_杨力_2016_交大法学_职业主义导向的国际法科人才培养改革.md,2,2,1,2,1,8,strong,high,False,full
73,670037398_许身健_2016_交大法学_卓越法律人才教育培养计划之反思与重塑.md,2,2,2,2,2,10,strong,high,False,skip
74,670037399_丁相顺_2016_交大法学_“项目推进”与“制度改革”：比较法视野下的中国法学教育改革路径.md,2,1,1,2,1,7,medium,medium,False,full
75,670037400_李翔_2016_交大法学_论法学教育改革与法律职业资格准入.md,2,2,1,2,1,8,strong,medium,False,full
76,670037401_高橋裕和李鹏舒_2016_交大法学_Eco o—Legal S udies的知识课题——循着法的领域.md,0,0,0,0,0,0,absent,high,False,skip
77,670037402_角松生史等_2016_交大法学_都市空间的法律结构与司法权的作用.md,0,0,0,0,0,0,absent,high,False,skip
78,670037403_印子_2016_交大法学_宅基地使用权的法律属性辨析.md,2,2,2,2,2,10,strong,high,False,skip
79,670037404_张冠群_2016_交大法学_我国台湾地区保险经纪人义务相关规定之评析——以2015年台湾地区“保险法”之修正为中心.md,2,2,1,2,1,8,strong,medium,False,full
80,670037405_林喜芬和董坤_2016_交大法学_非法证据排除规则运行状况的实证研究——以557份律师调查问卷为样本.md,2,2,1,2,2,9,strong,high,False,skip
81,670037406_张建伟_2016_交大法学_制度基因、金融发展与“法律家长主义”进和退（下）——功能视角下的“中国悖论”及求解.md,2,2,2,2,2,10,strong,high,False,skip
82,670037407_高军和李文波_2016_交大法学_论税法解释函令——基于台湾地区税法理论与实践的探讨.md,0,1,0,2,1,4,weak,low,True,full
83,670037408_王贵松_2016_交大法学_行政法上利害关系的判断基准——黄陆军等人不服金华市工商局工商登记行政复议案评析.md,2,2,2,2,2,10,strong,high,False,light
84,670865332_林来梵等_2016_交大法学_对话一：民法典编纂的宪法问题.md,2,2,2,2,2,10,strong,high,False,skip
85,670865333_韩光明和丁利_2016_交大法学_对话二：立法追求、法律技术与民法典编纂.md,2,2,1,2,2,9,strong,medium,False,full
86,670865334_谢鸿飞_2016_交大法学_《民法总则》法人分类的层次与标准.md,2,2,1,2,1,8,strong,high,False,full
87,670865335_傅穹_2016_交大法学_法人概念的固守与法人分类的传承.md,2,2,1,2,1,8,strong,high,False,light
88,670865336_许德风_2016_交大法学_法人的虚与实.md,2,1,1,2,1,7,medium,medium,False,full
89,670865337_解亘_2016_交大法学_《民法总则（草案）》中时效制度的不足.md,2,2,1,2,2,9,strong,medium,False,full
90,670865338_戴孟勇_2016_交大法学_论因起诉及与起诉类似的事项导致诉讼时效中断的效力.md,2,2,1,2,1,8,strong,medium,False,full
91,670865339_朱晓喆_2016_交大法学_关于《民法总则（草案）》诉讼时效制度的批评意见.md,2,2,1,2,1,8,strong,high,False,full
92,"670865340_张谷_2016_交大法学_管制还是自治,的确是个问题!——对《民法总则（草案）》“法人”章的评论.md",2,2,2,2,2,10,strong,high,False,skip
93,670865341_伍德志_2016_交大法学_冲突、迎合与默契：对传媒与司法关系的再审视.md,2,2,2,2,2,10,strong,high,False,full
94,670865342_秦裕林等_2016_交大法学_波斯纳写错了贝叶斯公式吗？.md,0,0,0,0,0,0,absent,high,False,skip
95,670865343_许可_2016_交大法学_中国律师职业的兴起（上）——以商务律师为中心.md,2,2,1,2,1,8,strong,medium,False,full
96,670865344_王志远_2016_交大法学_公众意见与司法决策：以美国联邦最高法院为例.md,0,0,0,0,0,0,absent,high,False,skip
97,670865345_陈洪兵_2016_交大法学_罪刑相适应原则在刑法解释中的适用研究.md,2,2,2,2,2,10,strong,high,False,full
98,670865346_李志恒_2016_交大法学_数额犯之数额的阶层犯罪论体系定位.md,2,2,2,2,2,10,strong,high,False,light
99,670865347_其木提_2016_交大法学_论“跳单”之认定标准——最高人民法院指导案例1号评释.md,2,2,1,2,1,8,strong,high,False,full
100,671670627_林彦和杨珍_2017_交大法学_罗伯特·博克的原旨主义.md,0,0,0,0,0,0,absent,high,False,skip
101,671670628_季卫东_2017_交大法学_日本宪法保障制度设计的不同思路.md,0,0,0,1,1,2,weak,high,False,full
102,671670629_郑戈_2017_交大法学_传统中的变革与变革中的传统——德国宪法法院的诞生.md,0,0,0,1,1,2,weak,high,False,skip
103,671670630_杨帆_2017_交大法学_违宪审查的法国道路——一个政治宪法学的考察.md,0,0,0,1,1,2,weak,medium,False,full
104,671670631_赵宏_2017_交大法学_部门宪法的构建方法与功能意义：德国经验与中国问题.md,2,1,1,2,2,8,strong,high,False,skip
105,671670632_韩世远_2017_交大法学_买卖法的再法典化：区别对待消费者买卖与商事买卖.md,2,2,2,2,2,10,strong,high,False,light
106,671670633_周江洪_2017_交大法学_典型合同与合同法分则的完善.md,2,2,1,2,2,9,strong,high,False,skip
107,671670634_方新军_2017_交大法学_关于民法典合同法分则的立法建议.md,2,2,0,2,2,8,strong,medium,False,full
108,671670635_纳塔利诺·伊尔蒂等_2017_交大法学_民法典的理念.md,0,0,0,0,0,0,absent,medium,False,full
109,671670636_朱广新_2017_交大法学_民法典之典型合同类型扩增的体系性思考.md,2,2,1,2,2,9,strong,medium,False,full
110,671670637_柳川隆和其木提_2017_交大法学_法经济学视野下的转售价格维持行为之合法性.md,0,0,0,0,0,0,absent,high,False,full
111,671670638_翁武耀_2017_交大法学_再论税收法定原则及其在我国的落实——基于意大利强制性财产给付法定原则的研究.md,2,1,0,1,1,5,medium,medium,False,full
112,671670639_田文军_2017_交大法学_羁押必要性审查制度之检讨.md,2,2,1,2,2,9,strong,high,False,full
113,671670640_许可_2017_交大法学_中国律师职业的兴起（下）——以商务律师为中心.md,2,2,2,2,2,10,strong,high,False,skip
114,671670641_王天华_2017_交大法学_框架秩序与规范审查——“华源公司诉商标局等商标行政纠纷案”一审判决评析.md,2,2,1,2,1,8,strong,medium,False,full
115,672348923_吴泽勇_2017_交大法学_民事诉讼法理背景下的虚假诉讼规制--以《民事诉讼法》第112条的适用为中心.md,2,2,1,2,2,9,strong,high,False,light
116,672348924_纪格非_2017_交大法学_民事诉讼虚假诉讼治理思路的再思考——基于实证视角的分析与研究.md,2,2,2,2,1,9,strong,medium,False,full
117,672348925_罗恬漩_2017_交大法学_论虚假诉讼受害人的救济：兼探讨第三人撤销之诉适用.md,2,2,1,2,2,9,strong,high,False,skip
118,672348926_李世刚_2017_交大法学_《法国民事责任改革法草案》解析与启示.md,1,0,0,1,1,3,weak,medium,False,full
119,672348927_李贝_2017_交大法学_法国债法改革对我国民法典制定的启示意义.md,1,1,0,2,1,5,medium,medium,False,full
120,672348928_刘骏_2017_交大法学_法国新债法的代理制度与我国民法总则代理之比较.md,2,2,2,2,2,10,strong,high,False,full
121,672348929_刘涛_2017_交大法学_冗余和遵循先例：系统论的考察及启示.md,1,0,0,1,1,3,weak,medium,False,full
122,672348930_王琳_2017_交大法学_道德立场与法律技术关系的法哲学分析--“技术中立说”与“技术修饰说”之批判与重构.md,2,2,2,2,2,10,strong,high,False,full
123,672348931_张涛和刘聪_2017_交大法学_司法改革视阈下法律职业伦理教育之路径研究——以大学生法律援助“课程化”为视角.md,2,2,1,2,1,8,strong,high,False,full
124,672348932_胡敏洁_2017_交大法学_晚近美国福利权的学理与实践——2006—2016年之评述.md,0,0,0,0,0,0,absent,high,False,light
125,672348933_胡滨斌_2017_交大法学_《专利法》第11条“除本法另有规定的以外”之辨析.md,2,2,1,2,2,9,strong,high,False,full
126,672348934_2017_交大法学_独任检察官制度：理论框架与实证考察--以上海基层检察院的试点为例.md,2,2,2,2,2,10,strong,high,False,skip
127,672348935_佐哈·戈申等_2017_交大法学_被代理人成本：公司法与公司治理的新理论（上）.md,0,0,0,0,0,0,absent,high,False,full
128,672348936_章剑生_2017_交大法学_行政诉讼中滥用诉权的判定--陆红霞诉南通市发展和改革委员会政府信息公开答复案评释.md,2,2,2,2,2,10,strong,high,False,full
129,673134489_程金华_2017_交大法学_理性对待中国的无法、有法、反法与超法——“法律东方主义”的启示.md,2,1,1,2,1,7,medium,high,False,full
130,673134490_马剑银_2017_交大法学_“想象”他者与“虚构”自我的学理表达——有关《法律东方主义》及其中国反响.md,1,1,0,1,0,3,weak,high,False,full
131,673134491_鲁楠_2017_交大法学_迈向东方法律主义？——评络德睦《法律东方主义》.md,1,0,0,2,1,4,weak,medium,False,full
132,673134492_郑戈_2017_交大法学_法律帝国主义、法律东方主义与中国的法治道路.md,2,1,2,2,2,9,strong,medium,False,full
133,673134493_高其才_2017_交大法学_民法典编纂与民事习惯——立法、司法视角的讨论.md,2,2,1,2,2,9,strong,high,False,light
134,673134494_许中缘_2017_交大法学_论商事习惯与我国民法典——以商事主体私人实施机制为视角.md,2,2,2,2,2,10,strong,high,False,light
135,673134495_厉尽国_2017_交大法学_中国《民法典》编纂中的习惯法问题.md,2,2,1,2,1,8,strong,high,False,skip
136,673134496_陈吉栋_2017_交大法学_由“习惯法”到“习惯立法”——以“祭祀公业”与“合会”为线索.md,2,1,0,2,2,7,medium,medium,False,full
137,673134497_王利明_2017_交大法学_《民法总则》的本土性与时代性.md,2,2,2,2,2,10,strong,high,False,skip
138,673134498_陈鹏_2017_交大法学_立法机关解释宪法的普遍性与中国语境.md,2,2,1,2,1,8,strong,medium,False,full
139,673134499_于洋_2017_交大法学_明显不当审查标准的内涵与适用——以《行政诉讼法》第70条第（六）项为核心.md,2,2,1,2,1,8,strong,medium,False,full
140,673134500_池伟宏_2017_交大法学_论重整计划的制定.md,2,2,1,2,2,9,strong,high,False,light
141,673134501_缪因知_2017_交大法学_从国企到公共企业的法律调整与所有制调整.md,2,2,2,2,2,10,strong,high,False,skip
142,673134502_佐哈·戈申等_2017_交大法学_被代理人成本：公司法与公司治理的新理论（下）.md,0,0,0,0,0,0,absent,high,False,full
143,673134503_邵敏杰_2017_交大法学_跟单信用证下银行提单担保权利——“建行荔湾支行与蓝粤能源等信用证开证纠纷案”评释.md,2,2,2,2,2,10,strong,high,False,skip
144,673960711_杨登峰和李晴_2017_交大法学_行政处罚中比例原则与过罚相当原则的关系之辨.md,2,2,2,2,2,10,strong,high,False,light
145,673960712_王静_2017_交大法学_比例原则在中国行政判决中的适用.md,2,2,1,2,2,9,strong,high,False,light
146,673960713_阎天_2017_交大法学_劳动规章性质三分说：以比例原则为检验标准.md,2,2,2,2,2,10,strong,high,False,skip
147,673960714_冯威_2017_交大法学_基本权利的紧张关系与权衡裁判-以德国雷巴赫案对一般人格权的保护为例.md,0,0,0,0,0,0,absent,high,False,full
148,673960715_谢在全_2017_交大法学_浮动资产担保权之建立以台湾地区“企业资产担保法草案”为中心.md,0,0,0,0,0,0,absent,low,True,full
149,673960716_何颖来_2017_交大法学_混合共同担保内部求偿算定规则体系的构建.md,2,2,2,2,2,10,strong,high,False,full
150,673960717_云晋升和彭诚信_2017_交大法学_完善我国动产担保的新路径探索（上）.md,2,2,1,2,1,8,strong,medium,False,full
151,673960718_李晟_2017_交大法学_从军事视角理解宪法的历史构成：以五四宪法中的国防委员会切入.md,2,2,2,2,2,10,strong,high,False,full
152,673960719_徐向华_2017_交大法学_论审判团队制度之完善.md,2,2,2,2,2,10,strong,high,False,full
153,673960720_俞海涛_2017_交大法学_法律公布制度：规范、原理与运作--以法律拟制及其限度为分析路径.md,2,2,1,2,1,8,strong,high,False,full
154,673960721_李文莉和杨宁_2017_交大法学_股权众筹监管的法律定位与实现路径.md,2,1,1,2,1,7,medium,high,False,full
155,673960722_周江洪_2017_交大法学_分期付款买卖合同的解除及其限制-“汤长龙诉周士海股权转让糾纷案”评释.md,2,2,2,2,2,10,strong,high,False,full
156,673960723_刘志欣_2017_交大法学_紧急权力的历史叙事及其宪政之维-评罗斯托《宪法专政》.md,0,0,0,0,0,0,absent,high,False,light
157,674260130_张家勇_2018_交大法学_中国法民事责任竞合的解释论.md,2,2,1,2,2,9,strong,medium,False,full
158,674260131_叶名怡_2018_交大法学_再谈违约与侵权的区分与竞合.md,2,2,1,2,1,8,strong,medium,False,full
159,674260132_赵秀举_2018_交大法学_论请求权竞合理论与诉讼标的理论的冲突与协调.md,2,2,2,2,2,10,strong,high,False,skip
160,674260133_曹志勋_2018_交大法学_德国诉讼标的实体法说的发展——关注对请求权竞合的程序处理.md,1,0,0,1,1,3,weak,high,False,light
161,674260134_傅爱竹_2018_交大法学_什么是立法意图——德沃金论意图主义法律解释.md,0,0,0,1,0,1,absent,high,False,full
162,674260135_雷槟硕_2018_交大法学_如何“参照”指导性案例的适用逻辑.md,2,2,2,2,2,10,strong,high,False,light
163,674260136_张海涛_2018_交大法学_政治与法律的耦合结构：党内法规的社会系统论分析.md,2,2,1,2,2,9,strong,medium,False,full
164,674260137_魏磊杰_2018_交大法学_妥适理解法律东方主义何以可能.md,1,1,1,2,1,6,medium,medium,False,full
165,674260138_伊卫风_2018_交大法学_清末立宪与康有为的“虚君共和”思想.md,2,2,2,2,1,9,strong,high,False,light
166,674260139_金欣_2018_交大法学_中国立宪史上的“宪法-富强”观再探讨.md,2,2,2,2,2,10,strong,high,False,skip
167,674260140_肖卫兵_2018_交大法学_论我国政府信息公幵例外体系构建完善.md,2,2,2,2,2,10,strong,high,False,skip
168,674260141_云晋升和彭诚信_2018_交大法学_完善我国动产担保的新路径探索（下）.md,2,2,1,2,1,8,strong,medium,False,full
169,674260142_戴孟勇_2018_交大法学_不动产链条式交易中的中间省略登记——嘉德利公司诉秦龙公司、空后广州办等国有土地使用权转让合同糾纷案评释.md,2,2,2,2,2,10,strong,high,False,light
170,674260143_黎敏_2018_交大法学_作为限权宪法之思想 基础的有限政府理论——《驯化利维坦：有限政府的一般理论》述评.md,1,1,0,2,1,5,medium,medium,False,full
171,675932825_章程_2018_交大法学_论指导性案例的法源地位与参照方式——从司法权核心功能与法系方法的融合出发.md,2,2,2,2,2,10,strong,high,False,skip
172,675932826_李剑_2018_交大法学_判例的形式构成及其“成分”分析——以德国法教义学为视角.md,0,0,0,0,0,0,absent,medium,False,full
173,675932827_章剑生等_2018_交大法学_座谈：判例研究、法治发展与法学教育.md,2,2,2,2,2,10,strong,high,False,full
174,675932828_久保茂树和杜仪方_2018_交大法学_行政法判例与学说.md,0,0,0,0,0,0,absent,high,False,light
175,675932829_俞思瑛等_2018_交大法学_对话：技术创新、市场结构变化与法律发展.md,2,2,1,2,2,9,strong,high,False,full
176,675932830_张文波_2018_交大法学_功能、身份与政治——人民法院党组的治理机制.md,2,2,2,2,2,10,strong,high,False,full
177,675932831_姜增_2018_交大法学_民国“佛教入监”考.md,2,2,0,2,1,7,medium,medium,False,full
178,675932832_江波和张亚男_2018_交大法学_大数据语境下的个人信息合理使用原则.md,2,1,1,2,2,8,strong,high,False,full
179,675932833_周铭川_2018_交大法学_论数额加重犯的未遂犯.md,2,2,2,2,2,10,strong,high,False,skip
180,675932834_江海洋_2018_交大法学_侵犯公民个人信息罪超个人法益之提倡.md,2,2,2,2,2,10,strong,high,False,skip
181,675932835_迪特·格林和王蔚_2018_交大法学_狄骥思想之德式解读.md,0,0,0,0,0,0,absent,high,False,skip
182,675932836_阳平_2018_交大法学_遗嘱中限制婚姻自由条款的效力问题——张超军诉蔡丽珍遗赠纠纷案述评.md,2,2,1,2,2,9,strong,medium,False,full
183,675932837_吴泽勇_2018_交大法学_民事诉讼法教义学的登场——评王亚新、陈杭平、刘君博：《中国民事诉讼法重点讲义》.md,2,2,2,2,2,10,strong,high,False,skip
184,675932838_王亚新_2018_交大法学_对于民事诉讼法学研究方法的反思——答吴泽勇教授《民事诉讼法教义学的登场》一文.md,2,2,2,2,2,10,strong,high,False,skip
185,"675932839_黄海涛_2018_交大法学_基于实务,超越实务,任重道远——简评《中国民事诉讼法重点讲义》.md",2,2,1,2,2,9,strong,medium,False,full
186,676436750_高富平_2018_交大法学_农民集体土地再物权化：民法典编纂的使命和策略.md,2,2,2,2,2,10,strong,high,False,skip
187,676436751_蔡立东_2018_交大法学_土地承包权、土地经营权的性质阐释.md,2,2,2,2,2,10,strong,high,False,light
188,676436752_耿卓_2018_交大法学_宅基地使用权收回的流程规范.md,2,2,1,2,2,9,strong,high,False,skip
189,676436753_李凤章_2018_交大法学_物权编体系重构应变土地所有权为非限定土地使用权.md,2,2,2,2,2,10,strong,high,False,skip
190,676436754_张凌寒_2018_交大法学_风险防范下算法的监管路径研究.md,1,1,1,1,1,5,medium,medium,False,full
191,676436755_侯利阳_2018_交大法学_大历史视角下的反垄断法与本土化移植.md,2,2,1,2,1,8,strong,high,False,full
192,676436756_刘平_2018_交大法学_去存法典化：应收账款质权之路径反思与制度重塑.md,2,2,2,2,2,10,strong,high,False,skip
193,676436757_J.B.希顿（J.B.Hea o ）等_2018_交大法学_公司治理与代理崇拜.md,0,0,0,0,0,0,absent,high,False,full
194,676436758_金春_2018_交大法学_日本民事诉讼法学的理论演变与解释方法论.md,0,0,0,0,0,0,absent,medium,False,full
195,676436759_自正法_2018_交大法学_社会调查报告之证据效力.md,2,2,1,2,2,9,strong,high,False,light
196,676436760_李文_2018_交大法学_庭审实质化改革案件适用范围研究——基于案件类型和审级制度的分析.md,2,2,2,2,2,10,strong,high,False,skip
197,676436761_谢小剑_2018_交大法学_职务犯罪指定居所监视居住的适用：统计分析——以1694份判决书为样本.md,2,2,1,2,1,8,strong,high,False,full
198,676436762_周作彩_2018_交大法学_房屋征收补偿案中判决类型的适用——郭传欣诉巨野县人民政府、菏泽市人民政府房屋征收行政补偿案评析.md,2,2,2,2,2,10,strong,high,False,light
199,676436764_杜金_2018_交大法学_清代法律体系的多重叙述与重构——评王志强《清代国家法：多元差异与集权统一》.md,2,2,2,2,2,10,strong,high,False,skip
