rank,pid,source,ccb_score,title
154,338,E1+E2,87.59,实体与程序互动视野下的刑事合规立法
155,1829,E1,87.59,非法人组织与其他组织的关系困局及其破解
156,1195,E1,87.56,从数据生产到数据流通：数据财产权益的双层配置方案
157,1439,E1,87.56,宪法通信权双重保护论
158,1867,E1+E2,87.56,公法属地原则与域外适用的博弈共存
159,1143,E1,87.5,中国合同法上的产权平等保护
160,950,E1,87.49,从身份到行为：劳动法规范构造的转型
161,1741,E1,87.49,警察行政介入民事领域的正当性及类型化调控
162,1774,E1,87.49,诉讼标的理论的新范式——“相对化”与我国民事审判实务
163,1224,E1,87.47,保理法的再体系化
164,1894,E1,87.47,电子商务平台守门人责任研究
165,235,E1,87.46,刑民界分视野下诈骗罪成立范围的实质认定
166,1898,E1,87.46,论基本权利干预中的法律保留与宪法保留
167,1141,E1,87.44,中国刑事司法证明“唯客观化”批判
168,1593,E1,87.41,法律保留的中国方案：“本质重要性”标准的引入及应用
169,486,E1,87.38,死刑案件量刑阶段的轻刑推定原则
170,1683,E1,87.38,组织体刑事责任论及其应用
171,1264,E1,87.34,公司机会规则的反思与体系建构
172,1273,E1,87.32,共犯人关系的再思考
173,1360,E1,87.32,嗣后财产灭失、相反行为与遗嘱效力
174,1474,E1,87.32,我国民事自认的非约束性及其修正
175,1492,E1,87.31,抵销预期的发现及其价值———以保证金的破产抵销为线索
176,1363,E1,87.28,因果关系错误问题及其应对——以行为危险现实化说的再阐释为中心
177,1516,E1,87.28,数据的私法定位与保护
178,1869,E1,87.26,人工智能法学之类比方法及其省思：以AIGC著作权保护问题为例
179,209,E1,87.25,再论行政应急性原则:内涵、证立与展开
180,1752,E1,87.25,论刑法教义学与实证研究
181,1458,E1+E2,87.24,建设用地国有制的逻辑、挑战及变革
182,1862,E1,87.24,信息能力对法律规范形态的塑造
183,657,E1,87.22,股东会与董事会分权制度研究
184,866,E1,87.22,财产损失要件在诈骗认定中的功能及其判断
185,1878,E1,87.21,“正当信赖”的衡平检验
186,715,E1,87.18,论《民法典》的溯及力
187,1634,E1,87.18,特别条款优先效力的理论困境及其解决路径——以特别关系的类型区分为视角
188,593,E1,87.16,知识产权法与反不正当竞争法关系重探
189,718,E1,87.16,论中国刑法上的“二阶刑事违法”
190,1713,E1,87.16,行政协议诉讼的制度构建
191,1111,E1+E2,87.12,“直诉”源流通说辨正
192,1582,E1,87.09,民法总则中非法人组织权利能力之证成
193,1640,E1,87.07,环境行政处罚规制功能之补强
194,1875,E1,87.07,民法典约定解除权制度的构造与适用
195,1109,E1,87.06,“对赌协议”的裁判路径及政策选择——基于PE/VC与公司对赌场景的分析
196,1613,E1+E2,87.06,注册制度改革背景下基于商标不使用的实体法抗辩
197,1803,E1,87.03,连带债务发生明定主义之反思
198,1274,E1+E2,87.0,关联交易规制的世行范式评析与中国范式重构
199,1530,E1,86.99,无益费用的赔偿限制原理
200,137,E1,86.97,人格标识的“他为性”及其规范影响
201,748,E1,86.96,论冒名处分不动产的私法效果
202,1171,E1,86.94,义务范围理论下证券服务机构过失虚假陈述赔偿责任
203,1102,E1,86.93,风险控制的部门法思路及其超越
204,1301,E1,86.91,刑事诉讼时间规范的理论逻辑与制度改良
205,1233,E1,86.85,信用惩戒适用行为人责任的法理及其限度
206,1399,E1,86.84,基本权利冲突及其解决思路
207,1263,E1,86.82,公司挤出合并下异议股东回购请求权的功能定位
208,812,E1,86.81,论民事诉讼中的法官调查取证权
209,1456,E1,86.81,广播组织权的客体——兼析“以信号为基础的方法”
210,635,E1,86.79,组织法视阈中的公司决议及其法律适用
211,1198,E1,86.79,从预约到前合同协议——合意多样性视角下的类型化
212,1356,E1,86.79,"商标""显著特征""之内涵重释"
213,1271,E1,86.76,公私法协动视野下生态环境损害赔偿的理论构成
214,1777,E1,86.75,调整个性化定价的公私法协动体系构造
215,1261,E1,86.74,公司分配视角下的股东身份从属债权劣后受偿
216,184,E1,86.72,全国人大常委会授权的宪法定位及合宪性展开
217,604,E1,86.72,禁止重复起诉规则之重构:以合同效力的职权审查为背景
218,1342,E1,86.72,司法解散公司事由的实证研究
219,1917,E1,86.72,无独立请求权第三人制度的功能异化与规则再造
220,1840,E1,86.66,生命体尊严：生命尊严的法律内涵解释
221,1515,E1,86.59,数据公平利用的法理反思与制度重构
222,570,E1,86.57,环境权的规范效力：可诉性和具体化
223,1636,E1,86.56,"犯罪故意概念中的""危害社会"":规范判断与归责机能"
224,1742,E1,86.56,计算机信息系统作为财产的私法保护
225,1748,E1,86.56,许可权抑或禁止权：广播组织权的权能研究
226,245,E1,86.54,劳动者个人信息处理中同意的适用与限制
227,236,E1,86.53,刑法中行为论的新展开
228,211,E1,86.51,农村土地流转的合宪性分析
229,531,E1,86.51,法定物权的自由展开：经济分析与法律教义
230,1554,E1,86.5,正当防卫法律规则司法重构的经验研究
231,1828,E1+E2,86.47,雾霾应急的中国实践与环境法理
232,493,E1,86.46,民事救济规范竞争关系的协调
233,205,E1+E2,86.44,共同市场支配地位的理论基础与规则构造
234,1022,E1,86.44,法益保护与比例原则
235,1642,E1,86.41,现代监护理念下监护与行为能力关系的重构
236,654,E1,86.4,职务发明奖酬管制的理论困境与现实出路
237,1435,E1,86.38,宪法中的禁止保护不足原则——兼与比例原则对比论证
238,1459,E1,86.38,归责视野下共同犯罪的区分制与单一制
239,1364,E1,86.34,因果力比较规则的刑法理论构造
240,1709,E1,86.32,董事合规义务：责任限缩与助推型公司法规则的构建
241,900,E1,86.31,重新发现“同案”:构建案件相似性的判断标准
242,1379,E1,86.31,地方各级人民法院宪法地位的规范分析
243,1130,E1,86.29,个人信息国家保护义务理论的反思与重塑
244,1799,E1,86.26,违约获益交出责任的正当性与独立性
245,180,E1+E2,86.24,党内法规的概念分析
246,1621,E1,86.22,涉诉信访治理的正当性与法治化——1978
247,1651,E1,86.22,界定行政处罚行为的功能性考量路径
248,1686,E1,86.22,缺省性公司法规则的构造——基于减少交易成本和代理成本的分析
249,610,E1,86.21,程序性犯罪构成要素的性质
250,1594,E1,86.19,法律关系范式之反思——以民事诉讼法为中心
251,1237,E1,86.18,债务清理上破产法与执行法的关系
252,1801,E1,86.18,违约金的类型构造
253,1901,E1,86.18,新实体不服说下上诉利益判断规则研究
254,1202,E1,86.16,以审判为中心的刑事诉讼制度改革
255,1335,E1,86.16,受贿犯罪保护法益与刑法第388条的解释
256,1447,E1,86.16,将有财产担保效力的破产阻断
257,1802,E1,86.16,违规合同的效力评价：路径与方法
258,1706,E1,86.13,著作权法中传播权的体系
259,482,E1,86.12,"正当防卫中的""误判特权""及其边界"
260,563,E1,86.12,物上担保权益的分层构造及实现保障
261,1622,E1,86.12,混合共同担保人相互间无追偿权论
262,1521,E1,86.1,文体活动自甘冒险的风险分配与范围划定
263,1750,E1,86.1,论刑事综合型证明模式及其对印证模式的超越
264,803,E1,86.09,论数据信息损害的承认与救济
265,1918,E1,86.03,社会治理视角下刑法归责模式的现代转型
266,1598,E1,86.01,法律行为内容评判的个案审查比对方法——兼谈民法典格式条款效力规范的解释
267,676,E1,85.99,行政协议的识别与边界
268,1548,E1,85.99,案外人对执行标的主张实体权利的程序救济
269,1697,E1,85.99,自然人民事权利能力差等论的批判与反思
270,1814,E1,85.99,量刑指导意见的司法实践与重构——以盗窃罪为切入点
271,675,E1,85.97,行政协议变更、解除制度的整合与完善
272,1397,E1,85.97,基本权利保护义务关系结构的型变
273,152,E1+E2,85.94,企业合规不起诉改革的实体法障碍及其消除
274,534,E1,85.91,法律位阶判断标准的反思与运用
275,1357,E1,85.91,商标保护与市场竞争关系之反思与修正
276,981,E1,85.9,国家保护视野中的个人信息权利束
277,979,E1,85.87,商法漏洞的特别法属性及其填补规则
278,1183,E1,85.87,二元规范论视角下刑法第13条但书规定的解释论展开
279,1637,E1,85.87,环境侵权因果关系类型化视角下的举证责任
280,37,E1,85.84,“蛋壳脑袋”规则之反思与解构
281,837,E1,85.84,论缓和的结果归属
282,1731,E1,85.81,被误解和被高估的动态体系论
283,314,E1,85.79,基于信任的自动化决策:算法解释权的原理反思与制度重构
284,438,E1,85.79,数字经济时代我国数据犯罪刑法规制的挑战与应对
285,1212,E1,85.78,作为规范的技术标准及其与法律的关系
286,1449,E1,85.78,工伤认定一般条款的建构路径
287,1675,E1,85.78,积极悔罪制度的体系化：平等适用刑法原则消极面向的展开
288,858,E1,85.76,证据属性的中国法律之道
289,1661,E1,85.76,知识产权法与反不正当竞争法一般条款的关系
290,393,E1,85.75,我国立法权的内在构成及其配置原理的完善
291,625,E1,85.75,精神文明的宪法叙事：规范内涵与宪制结构
292,696,E1,85.75,行政违法性认识错误的性质与处理规则
293,753,E1,85.75,论刑事案件不法原因给付财产的没收
294,1311,E1,85.75,刑法体系的合宪性调控——以“李斯特鸿沟”为视角
295,809,E1,85.74,论民事判决的遮断效力
296,1715,E1,85.72,行政处罚的预防目的及其规范建构
297,1152,E1,85.65,中国民事诉讼率变迁的影响机制——对曲线理论的检验和修正
298,1170,E1,85.62,主观权利概念之理论检讨——以胎儿的民事权利能力问题为中心
299,1232,E1,85.6,信托受托人忠实义务的功能诠释与规范重塑
300,1644,E1,85.59,用户价值与数字税立法的逻辑
301,1813,E1,85.59,重思个人信息权利束的保障机制：行政监管还是民事诉讼
302,444,E1,85.56,数据财产的权利架构与规则展开
303,1392,E1,85.56,基于数据主权的国家刑事取证管辖模式
304,1324,E1,85.53,劳动基准法的范畴、规范结构与私法效力
305,1520,E1,85.49,文书真伪认定的中国路径
306,1832,E1,85.44,预约合同效力和违约救济的实证考察与应然路径
307,1144,E1,85.43,中国宪法上国家所有的规范含义
308,1503,E1,85.4,故意杀人罪死刑裁量机制的实证研究
309,852,E1,85.38,论醉驾案件的程序出罪
310,1239,E1,85.38,债权多重让与的体系解释
311,1815,E1,85.37,量刑自由裁量权的边界:集体经验、个体决策与偏差识别
312,591,E1,85.35,监控者与管理者可否合一：行政法学体系转型的基础问题
313,744,E1,85.29,论公司机关决策权力的配置
314,1668,E1,85.29,离婚协议中的“赠与子女财产”条款研究
315,671,E1,85.28,行政举报案件中原告资格认定的构造
316,1557,E1,85.26,比例原则位阶秩序的司法适用
317,490,E1,85.25,比例原则的法理属性及其私法适用
318,1,E1,85.24,AIGC版权判定的认知经济性分析
319,488,E1,85.22,比例原则在民法上的适用及展开
320,499,E1,85.21,民事诉讼证据失权制度的衰落与重建
321,756,E1,85.19,论刑法的网络空间效力
322,1055,E1,85.16,行政改革试验授权制度的法理分析
323,1893,E1,85.16,论数字行政正当程序构造
324,916,E1+E2,85.15,中华法的政治机理——基于秦汉与古罗马时期的比较视角
325,1229,E1,85.1,保障房租赁与买卖法律关系的性质
326,1782,E1,85.06,货运代理转委托行为的类型区分及法律效力
327,274,E1,85.03,"合宪性审查中""相抵触""标准之建构"
328,1308,E1,85.03,刑民交叉案件中的事实认定与证据使用
329,1350,E1,85.03,合宪性解释在我国法院的实践
330,441,E1,85.01,数据产权登记的基本问题研究
331,1599,E1,85.01,法律行为效力瑕疵情形的返还清算
332,1228,E1,85.0,保险法安全维护义务的体系定位与规则重塑
333,1663,E1,84.99,破产程序中的抵销预期保护
334,198,E1,84.94,公平公正待遇条款的法方法困境及出路
335,148,E1,84.93,以危险方法危害公共安全罪认定规则研究
336,1418,E1,84.93,存款货币的权利归属与返还请求权——反思民法上货币“占有即所有”法则的司法运用
337,1737,E1,84.9,规划许可诉讼中邻人保护的权利基础与审查构造
338,1384,E1,84.87,城市空间利益的正当分配——从规划行政许可侵犯相邻权益案切入
339,1910,E1,84.87,数据财产权排他性研究
340,738,E1,84.84,论依规范目的认定合同无效：以《合同编通则解释》第16条为中心
341,1773,E1,84.84,诉讼外鉴定的类型化及其司法审查
342,609,E1,84.75,程序性救济的制度模式及改造
343,636,E1,84.69,经理雇佣合同与委任合同之分辨
344,1698,E1,84.68,自然资源分出物的自由原始取得
345,1883,E1,84.68,但书出罪的规范基础与实践展开
346,523,E1,84.66,民间借贷诉讼中的证明责任问题
347,590,E1,84.62,登记对抗主义的反思与改造：《物权法》第24条解析
348,131,E1,84.59,交易性贬值损失之赔偿
349,1787,E1,84.59,跨法域合同纠纷中强制性规范的类型及认定规则
350,655,E1,84.57,职场智能监控下的劳动者个人信息保护——以目的原则为中心
351,1809,E1,84.57,避税行为可罚性之探究
352,1133,E1,84.56,个人信息的侵权法保护
353,765,E1,84.54,论国家所有权与行政权的关系
354,1409,E1,84.53,多数人之债的类型建构
355,1855,E1,84.53,人工智能侵权的过错责任
356,541,E1,84.51,法律行为解消清算规则之体系统合
357,1635,E1,84.49,犯罪参与体系中区分制与单一制的融合
358,469,E1,84.44,未成年人违警行为的提出与立法辨证
359,1231,E1,84.44,信息网络传播行为的认定
360,269,E1,84.41,司法解释中的出罪规范:类型、依据与完善方向
361,1061,E1,84.41,行政许可的民法意义
362,280,E1,84.4,商主体资格形成机制的革新
363,1542,E1,84.4,期待权之检讨
364,1576,E1,84.4,民法典编纂的宪法学透析
365,1776,E1,84.4,诱惑侦查的程序控制
366,529,E1,84.38,法域协调视角下规范保护目的理论之重构
367,620,E1,84.38,答复类行政解释的行政诉讼法定位及其司法审查
368,663,E1,84.37,自然资源之上权利的层次性
369,1755,E1,84.37,论我国诉讼证据审查要素及审查方法的调整改革
370,627,E1,84.35,系统论宪法学新思维的七个命题
371,1407,E1,84.35,外国版权客体在本国的保护
372,1538,E1,84.35,智能投资顾问模式中的主体识别和义务设定
373,1719,E1,84.32,行政撤诉之再诉禁止效力的构造与限度
374,492,E1,84.31,民事再审之诉“二阶化构造”的程序重塑
375,796,E1,84.31,论抽象危险犯个罪裁判规范的续造
376,1220,E1,84.31,侵权赔偿体现知识产权价值的民法原理
377,1696,E1,84.31,股东溢价出资的会计表达与法律属性
378,1745,E1,84.29,认罪认罚何以从宽：误区与正解——反思效率优先的改革主张
379,1494,E1,84.26,担保物权实现的程序标的：实践、识别与制度化
380,1124,E1,84.24,不动产定期承租人的预期违约责任——兼评“合同编通则解释”第61条
381,1349,E1,84.22,合宪性视角下的成片开发征收及其标准认定
382,902,E1,84.21,金融诈骗罪特别从宽于诈骗罪的再认识
383,1278,E1,84.21,养老机构人身损害赔偿责任之过错认定
384,1843,E1,84.15,构思决定论视野下生成式人工智能生成物的版权保护
385,1906,E1,84.13,论“平等主体”：以《民法典》第2条为中心
386,1319,E1,84.12,功能主义视域下的行政协议
387,582,E1,84.1,生态文明体制改革中自然资源资产分级行使制度研究
388,93,E1,84.07,中国比较宪法学的重新定位与方法论重构
389,366,E1,84.03,形式与实质之争：税法视域的检讨
390,922,E1,84.03,中国宪法上基本权利法律保留的生成与构造
391,147,E1,84.01,以买卖合同担保借贷的解释路径与法效果
392,749,E1,84.01,论农民进城落户后集体土地“三权”退出
393,906,E1,84.0,非法持有枪支罪的司法认定
394,1297,E1,84.0,刑事证明标准的规范偏移与校正——从“刑事诉讼法解释”第140条切入
395,1453,E1,83.99,平台扼杀式并购的反垄断悖论
396,1215,E1,83.97,依法治国与深化司法体制改革法官责任制度的三种模式
397,878,E1,83.94,"超越""依法裁判""的清代司法"
398,1728,E1,83.93,表见代理中的被代理人可归责性
399,272,E1,83.9,司法认知偏差与量化裁判中的锚定效应
400,880,E1,83.9,身份权的派生确权与参照保护
401,1667,E1,83.9,禁止财务资助规则的公司法建构
402,206,E1,83.87,共犯处罚根据论的反思与修正:新混合惹起说的提出
403,284,E1,83.85,商标权行使与姓名权保护的冲突与规制
404,1464,E1,83.85,惩罚性赔偿的行政法反思
405,674,E1,83.82,行政协议与单方行为的界分
406,1413,E1,83.82,夫妻共同财产的潜在共有
407,1631,E1,83.79,版权保护与创作、文化发展的关系
408,1405,E1,83.78,增值税中性原则与民事制度
409,1679,E1,83.75,算法透明层次论
410,453,E1,83.74,新就业形态法律关系认定规则
411,1254,E1,83.74,八二宪法土地条款：一个原旨主义的解释
412,1907,E1,83.74,交易习惯的功能分型和适用方法
413,1132,E1,83.72,个人信息权的分析与建构
414,1714,E1,83.68,行政处罚中择一重罚规则的体系化阐释
415,690,E1,83.66,行政许可条件设定模式及其反思
416,1423,E1,83.65,安全保障义务人侵权补充责任的理论反思
417,1569,E1,83.65,民法典不当得利返还责任体系之展开
418,334,E1,83.63,存款占有的归属与财产犯罪的界限
419,1578,E1,83.63,民法合宪性解释的事实条件
420,685,E1,83.62,行政活动法律保留的结构变迁
421,1088,E1,83.6,论统一民事责任制度的建构——基于责任融合的“后果模式”
422,928,E1,83.59,中国民众刑法偏好研究
423,1236,E1+E2,83.59,修正普及主义视域下跨境破产的本土选择
424,1761,E1,83.56,论清代刑案诸证一致的证据标准——以同治四年郑庆年案为例
425,1180,E1,83.54,乡村振兴背景下的宅基地权利制度重构
426,385,E1,83.53,我国民事庭审阶段化构造再认识
427,892,E1,83.53,逮捕社会危险性条件中犯罪嫌疑人逃跑风险评估研究
428,1018,E1,83.53,法律行为的内在正义与外在正义
429,1262,E1,83.51,公司属人法的确定：真实本座主义的未来
430,50,E1,83.47,《行政处罚法》主观过错条款适用展开
431,548,E1,83.47,法律责任概念的反思与重构
432,41,E1,83.44,“超期申请行政复议”的形成逻辑与体系化应对
433,215,E1,83.44,分层土地利用中的强制地役权研究
434,1490,E1,83.43,报偿赠与论
435,165,E1,83.41,保险人撤销权:保险法中的一个制度选择及其合理性追问
436,1181,E1,83.4,书面形式与合同的成立
437,1583,E1,83.38,民法总则法源条款的缺失与补充
438,733,E1,83.37,论人工智能立法的基本路径
439,1380,E1,83.37,地方性法规设定行政处罚的空间
440,476,E1,83.35,核定征收适用范围的延展及其反思
441,1455,E1,83.34,平台经济从业者社会保险法律制度的构建
