rank,pid,category,journal,year,title,author,institution,score,std,source,problem_originality_avg,problem_originality_std,literature_insight_avg,literature_insight_std,analytical_framework_avg,analytical_framework_std,logical_coherence_avg,logical_coherence_std,conclusion_consensus_avg,conclusion_consensus_std,forward_extension_avg,forward_extension_std
19,1200,民商法学,法学研究,2019,代理公开的例外类型和效果,"朱虎[1,2]",中国人民大学民商事法律科学研究中心;中国人民大学法学院,87.6,3.15,E1+E2,89.0,3.56,84.5,3.73,93.0,4.17,88.5,0.89,87.0,2.17,73.0,6.25
20,1885,刑法学,中国法学,2025,论程序法上的犯罪事实,赵常成,南京大学法学院,87.55,3.39,E1+E2+E3,88.0,3.83,87.5,4.47,89.0,2.8,89.0,2.56,85.0,2.83,80.0,2.66
21,1493,民商法学,法学研究,2021,抽逃出资规则及公司分配制度的系统性改造,王军,中国政法大学,87.5,7.03,E1+E2+E3,87.5,7.78,91.0,5.42,80.0,9.33,90.0,2.43,88.0,16.27,85.0,1.93
22,1168,诉讼法学,法学研究,2022,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁,中国政法大学诉讼法学研究院,87.4,4.85,E1+E2,88.0,4.55,85.0,3.51,85.5,4.88,91.0,3.18,88.0,12.24,83.5,3.8
23,820,法学理论,中国法学,2022,论法律解释目标的逐案决定,陈坤,南京大学法学院,87.38,4.14,E1+E2+E3,88.0,7.12,88.0,4.03,85.5,2.77,89.0,1.77,88.0,2.62,79.0,3.4
24,882,刑法学,中国法学,2023,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇,中国人民大学刑事法律科学研究中心,87.33,7.06,E1+E2+E3,90.0,13.32,85.0,5.57,88.0,8.2,88.0,1.69,88.0,2.19,74.5,3.3
25,946,民商法学,中国社会科学,2021,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",87.25,3.33,E1+E2+E3,87.5,2.67,89.5,1.69,85.0,6.71,88.0,2.64,87.5,2.56,80.0,8.07
26,619,宪法学与行政法学,中国法学,2022,符合法律的宪法解释与宪法发展,杜强强,首都师范大学政法学院,87.22,3.42,E1+E2+E3,86.5,3.66,87.5,3.58,85.5,5.12,89.5,1.41,88.0,4.0,85.0,3.18
27,1519,法学理论,法学研究,2023,整体法秩序视野下被害人自陷风险的理论重塑,陈璇,中国人民大学刑事法律科学研究中心,87.2,4.92,E1+E2+E3,85.0,11.28,89.0,1.77,88.0,2.39,92.0,1.49,88.0,2.33,70.0,5.78
28,1602,法学理论,法学研究,2021,法律解释与法律续造的区分标准,陈坤,南京大学法学院,87.15,3.65,E1+E2+E3,88.0,7.04,89.5,2.03,82.0,3.58,89.5,1.41,89.0,1.49,75.0,3.25
29,1553,刑法学,法学研究,2024,正当防卫中的退避义务,江溯,北京大学法学院,87.1,3.15,E1+E2,85.0,5.5,90.0,2.2,88.0,3.12,88.0,1.46,88.0,1.92,80.0,2.1
30,1575,民商法学,法学研究,2024,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛,北京大学国际法学院,87.05,5.54,E1+E2+E3,89.5,10.34,84.5,4.97,85.0,3.01,90.0,3.18,88.0,1.96,75.0,3.15
31,317,法学理论,中国法学,2021,基本原则与概括条款的区分:我国诚实信用与公序良俗的解释论构造,于飞,中国政法大学民商经济法学院,87.0,2.93,E1+E2+E3,90.0,3.11,83.5,3.94,85.0,3.28,88.0,0.74,90,2.19,79.0,6.96
32,1390,诉讼法学,法学研究,2021,基于决定关系的证据客观性:概念、功能与理论定位,徐舒浩,中国人民大学法学院,86.85,3.85,E1+E2+E3,88.0,4.19,87.0,4.34,85.0,7.35,89.5,1.75,88.0,1.75,72.0,1.91
33,489,宪法学与行政法学,中国法学,2017,比例原则的普遍化与基本权利的性质,陈景辉,中国政法大学,86.33,6.56,E1+E2,88.0,8.21,86.5,9.05,85.0,7.67,88.0,2.14,86.5,2.71,72.5,8.81
34,1864,环境与资源保护法学,法学研究,2025,生态环境法典的复合结构及其体系化适用,陈海嵩,武汉大学环境法研究所,86.17,2.8,E1+E2,85.5,3.18,85.0,2.5,86.5,2.92,88.5,2.53,88.0,2.56,81.0,2.93
35,21,诉讼法学,中国法学,2023,“审执分离”本质与路径的再认识,张卫平,烟台大学,86.12,5.19,E1+E2+E3,85.5,5.51,85.0,5.42,85.5,10.54,89.0,2.98,88.5,1.67,80.0,2.1
36,683,宪法学与行政法学,中国法学,2016,行政法上的不确定法律概念,王天华,中国政法大学,86.08,7.59,E1+E2,88.0,12.03,87.0,2.17,80.0,14.28,88.0,5.37,85.5,1.31,82.5,3.93
37,1448,宪法学与行政法学,法学研究,2022,履行行政职责的作为可能性,林鸿潮,中国政法大学法治政府研究院,86.05,5.83,E1+E2+E3,88,12.55,78,1.99,88,3.35,92,3.13,85.0,3.38,79.0,4.03
38,634,诉讼法学,中国法学,2019,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇,华东政法大学,86.0,5.8,E1+E2,85.5,11.36,88.0,4.41,87.5,3.29,88.5,2.27,86.0,2.49,66.5,6.36
39,1848,宪法学与行政法学,法学研究,2025,宪法秩序下如何安放法典——从“基础性法律”的适用切入,张翔,北京大学法学院,85.7,3.84,E1+E2+E3,85.5,2.77,89.0,2.0,74.0,11.33,92.0,2.0,88.0,1.81,79.0,6.48
40,1330,经济法学,法学研究,2024,反不正当竞争法一般条款的保护限度——以市场区分为视角,刘建臣,山东大学法学院,85.7,4.03,E1+E2+E3,85.0,4.31,88.0,5.28,85.0,5.42,85.5,1.64,88.0,3.24,79.0,4.36
41,1614,知识产权法学,法学研究,2021,"注册商标使用中的""未改变显著特征""",付继存,中国政法大学民商经济法学院,85.6,4.6,E1+E2,85.0,7.48,85.0,2.95,88.0,2.56,87.5,3.44,86.5,3.02,75.0,7.74
42,1860,诉讼法学,法学研究,2025,诉权处分合同的程序法效果及其司法审查,朱禹臣,中国人民大学法学院,85.55,5.96,E1+E2+E3,84.0,9.96,85.0,5.7,87.0,3.74,88.0,2.39,92.0,3.4,70.0,8.99
43,1322,经济法学,法学研究,2023,劳动关系认定的理论澄清与规范建构,朱军,上海交通大学凯原法学院,85.22,5.5,E1+E2,83.5,12.08,88.0,2.56,88.5,3.25,85.5,1.98,88.0,3.58,68.0,2.36
44,1387,国际法学,法学研究,2021,域外管辖的体系构造:立法管辖与司法管辖之界分,宋晓,南京大学法学院,85.15,3.58,E1+E2+E3,85.0,3.87,88.0,2.47,78.0,7.9,89.0,2.1,88.0,1.98,75.0,2.38
45,1601,宪法学与行政法学,法学研究,2020,法律规范合宪性解释的方法论构造,刘召成,天津大学法学院,84.92,5.68,E1+E2,83.5,10.71,88.0,2.96,85.0,3.34,89.5,1.41,87.5,5.24,57.5,11.36
46,51,环境与资源保护法学,中国法学,2018,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,84.92,4.38,E1+E2,82.5,5.98,89.0,2.76,83.5,6.02,88.0,2.9,87.0,2.92,71.0,5.21
47,1867,国际法学,法学研究,2025,公法属地原则与域外适用的博弈共存,章晶,河海大学法学院,84.72,6.2,E1+E2,80,12.44,88.0,2.6,86.5,7.11,88.0,1.93,88.0,2.66,75.0,4.53
48,1111,法律史,法学研究,2015,“直诉”源流通说辨正,王捷,华东政法大学法律古籍整理研究所,84.05,7.16,E1+E2,88.0,10.49,82.0,6.6,76,10.21,88.0,4.05,85.0,0.64,75.0,5.8
49,1761,法律史,法学研究,2019,论清代刑案诸证一致的证据标准——以同治四年郑庆年案为例,王志强,复旦大学法学院,83.03,10.73,E1+E2,85.0,25.2,72.0,6.1,82.0,4.71,92.0,4.03,88.0,1.51,72.5,5.73
50,180,党内法规学,中国法学,2024,党内法规的概念分析,朱林方,西南政法大学行政法学院,82.6,11.21,E1+E2,81.5,20.16,85.0,6.16,78.0,18.12,88.0,2.0,86.0,0.99,65.0,14.21
