编号,期刊,年份,卷,期,题目,作者,作者机构,页数,主题词,分类-Q,分类-G,分类-D,分类-K,分类,duplicate_group,canonical_pid,analysis_included
31,中国法学,2022,000,4,“法律脱嵌治理”：中国式邻避纠纷的制度成因及治理,何艳玲[1],[1]中国人民大学公共管理学院,19,中国式邻避纠纷;物权;物权空置;法律脱嵌治理;住房,民商法学,民商法学,民商法学,民商法学,民商法学,,31,yes
32,中国法学,2016,0,1,“法治中国”命题的理论逻辑及其展开,王旭,中国人民大学法学院,18,法治;主权;治权;代表制;合宪性,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,32,yes
33,中国法学,2015,0,1,“特区租管地”：一种区域合作法律制度创新模式,董皞[1],[1]广州大学,17,特区租管地;区域合作;中央与地方关系法治化,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,33,yes
34,中国法学,2019,,5,“犯罪所得投资收益”追缴的影响因素与判断规则,庄绪龙[1],[1]苏州大学王健法学院,20,犯罪所得;投资收益;资本投机;组合投资;层次性判断,刑法学,刑法学,刑法学,刑法学,刑法学,,34,yes
35,中国法学,2020,,1,“社会主义公共财产”的宪法定位:“合理利用”的规范内涵,李忠夏[1],[1]山东大学法学院,20,公共财产;社会主义初级阶段;公私并存;合理利用,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,35,yes
36,中国法学,2018,,1,“绿色原则”在民法典中的贯彻论纲,吕忠梅[1];竺效[2];巩固[3];刘长兴[4];刘超[5],[1]清华大学法学院;[2]中国人民大学法学院;[3]浙江大学光华法学院;[4]华南理工大学法学院;[5]华侨大学法学院,23,民法典;绿色原则;民法分则;民法基本原则,民商法学,民商法学,民商法学,民商法学,民商法学,,36,yes
37,中国法学,2017,,1,“蛋壳脑袋”规则之反思与解构,孙鹏,西南政法大学民商法学院,20,蛋壳脑袋;侵权责任;素因竞合;异常损害,民商法学,民商法学,民商法学,民商法学,民商法学,,37,yes
38,中国法学,2017,,5,“裁执一体化”财产保全的逻辑与改革,刘君博,中央财经大学法学院,21,财产保全 “裁执一体化” “低水平”均衡 执行难,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,38,yes
39,中国法学,2019,,2,"""认""与""缴""二分视角下公司催缴出资制度研究",袁碧华[1],[1]广州大学法学院,19,认缴制;股东出资;催缴制度;公司自治,民商法学,民商法学,民商法学,民商法学,民商法学,,39,yes
40,中国法学,2018,,4,“诉讼爆炸”的中国应对：基于W区法院近三十年审判实践的实证分析,左卫民,四川大学法学院,23,民事案件;案多人少;应对策略;体制的适应性,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,40,yes
41,中国法学,2024,000,6,“超期申请行政复议”的形成逻辑与体系化应对,范伟[1],[1]中国政法大学法律硕士学院,22,超期申请行政复议;起诉期限;诉的利益;行政争议实质性解决,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,41,yes
42,中国法学,2019,,6,“长臂管辖权”的法理分析与对策研究,肖永平[1],[1]武汉大学国际法研究所,27,“长臂管辖权”;立法管辖权;司法管辖权;执法管辖权;域外适用,国际法学,国际法学,国际法学,国际法学,国际法学,,42,yes
43,中国法学,2016,,3,“预防性”反恐刑事立法思考,何荣功,武汉大学法学院,19,恐怖主义;预防性刑法;反恐国家战略,刑法学,刑法学,刑法学,刑法学,刑法学,,43,yes
44,中国法学,2017,,2,《中华人民共和国民法总则》的制定,"张鸣起[1,2,3]",[1]十二届全国人民代表大会法律委员会;[2]中国法学会;[3]中国法学会民法典起草研究领导小组,20,《民法总则》;《民法总则》的立法过程;《民法总则》的主要特色,民商法学,民商法学,民商法学,民商法学,民商法学,,44,yes
45,中国法学,2024,000,4,《刑事诉讼法》再修改之证据制度完善,张保生[1],[1]中国政法大学证据科学教育部重点实验室、司法文明协同创新中心、重罪检察证据分析研究基地,20,《刑事诉讼法》再修改;刑事证据制度;证据排除规则;庭审实质化,刑法学,刑法学,刑法学,刑法学,刑法学,,45,yes
46,中国法学,2019,,1,《大清律例》条标的运用与启示,王立民[1],[1]华东政法大学,18,《大清律例》;条标;法典结构,法律史,法律史,法律史,法律史,法律史,,46,yes
47,中国法学,2023,000,3,《民法典》背景下劳动法与民法的关系,王全兴[1],[1]上海财经大学法学院,21,劳动法;民法;私法社会化;一般法与特别法,民商法学,民商法学,民商法学,民商法学,民商法学,,47,yes
48,中国法学,2022,000,4,《民法典》视域下的一般人格权,温世扬[1],[1]武汉大学法学院,18,民法典;一般人格权;非典型人格法益;人身自由;人格尊严,民商法学,民商法学,民商法学,民商法学,民商法学,,48,yes
49,中国法学,2019,,3,《民法总则》民商合一中国模式之检讨,李建伟[1],[1]中国政法大学民商经济法学院,20,民法总则;民商合一;民商分立;商法规范体系;商法独立性,民商法学,民商法学,民商法学,民商法学,民商法学,,49,yes
50,中国法学,2023,000,2,《行政处罚法》主观过错条款适用展开,熊樟林[1],[1]东南大学法学院,20,行政处罚;主观过错;一般过失;具体过失;另有规定,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,50,yes
51,中国法学,2018,,4,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,21,三权分置;土地经营权;农地流转;权利体系,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,51,yes
52,中国法学,2016,0,1,上市公司私有化的监管逻辑与路径选择,李文莉,上海对外经贸大学法学院,16,上市公司私有化;主动退市;上市公司监管,民商法学,民商法学,民商法学,民商法学,民商法学,,52,yes
53,中国法学,2022,0,1,上市公司虚假陈述行政处罚内部责任人认定逻辑之改进,邢会强[1],[1]中央财经大学法学院,18,虚假陈述;信息披露;证券行政处罚;注意义务;勤勉尽责,民商法学,民商法学,民商法学,民商法学,民商法学,,53,yes
54,中国法学,2018,,1,不动产被征收人参与权的价值定位与制度重构,渠滢,华东政法大学中国法治战略研究中心,20,不动产征收;参与权;价值定位;制度重构,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,54,yes
55,中国法学,2024,000,6,不当联结禁止原则的重述与应用,金成波[1],[1]中共中央党校(国家行政学院)政治和法律教研部,19,不当联结禁止;行政法基本原则;连坐;行政行为;多元行政,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,55,yes
56,中国法学,2017,,1,不正当竞争行为认定中的实用主义批判,焦海涛,安徽大学法学院,20,不正当竞争行为;实用主义;竞争关系;公平竞争秩序,经济法学,经济法学,经济法学,经济法学,经济法学,,56,yes
57,中国法学,2023,000,5,不确定鉴定意见的证据属性及功能,郭华[1],[1]中央财经大学法学院,16,不确定鉴定意见;倾向性鉴定意见;证据属性;佐证功能,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,57,yes
58,中国法学,2020,,4,不阻止他人犯罪的刑事责任,黎宏[1],[1]清华大学法学院,21,不阻止他人犯罪;作为共犯;作为义务;结果回避可能性;行为支配,刑法学,刑法学,刑法学,刑法学,刑法学,,58,yes
59,中国法学,2024,000,1,世界刑事诉讼的四次革命,"冀祥德[1,2]",[1]中国社会科学院法学研究所;[2]中国社会科学院大学法学院,21,刑事诉讼;司法权行政权分离;控审分离;控辩平等;控辩合作,刑法学,刑法学,刑法学,刑法学,刑法学,,59,yes
60,中国法学,2015,0,4,东京审判与追究侵略之罪责,朱文奇,中国人民大学法学院,20,东京审判;反和平罪;侵略罪,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,60,yes
61,中国法学,2021,0,1,个人信息国家保护义务及展开,王锡锌,教育部人文社会科学重点研究基地北京大学宪法与行政法研究中心,22,个人信息受保护权;国家保护义务;工具性权利;个人信息保护,数字法学,宪法学与行政法学,宪法学与行政法学,民商法学,宪法学与行政法学,,61,yes
62,中国法学,2021,0,1,"个人信息处理中的""同意""与""同意撤回""",万方,北京外国语大学法学院,22,告知同意;同意撤回权;个人信息保护;撤销权;人格权,数字法学,民商法学,民商法学,民商法学,民商法学,,62,yes
63,中国法学,2022,000,5,个人信息处理者过错推定责任研究,王道发[1],[1]中央财经大学法学院,19,个人信息保护法;民法典;个人信息处理者;过错推定责任,数字法学,民商法学,民商法学,民商法学,民商法学,,63,yes
64,中国法学,2019,,4,个人信息权作为民事权利之证成:以知识产权为参照,吕炳斌[1],[1]南京大学法学院,22,个人信息;知识产权;行为规制权利化;民事权利体系,知识产权法学,民商法学,民商法学,民商法学,民商法学,,64,yes
65,中国法学,2020,,1,个人所得税纳税义务的法律建构,叶姗[1],[1]北京大学法学院,20,量能课税原则;综合所得;所得分项;纳税义务发生;重构纳税义务,经济法学,经济法学,经济法学,经济法学,经济法学,,65,yes
66,中国法学,2024,000,5,个人数据交易的私法制度构造研究,夏庆锋[1],[1]安徽大学法学院,21,个人数据;交易主体;交易客体;权利配置;规则设置,数字法学,民商法学,民商法学,民商法学,民商法学,,66,yes
67,中国法学,2021,,4,个人破产免责的理论基础与规范构建,徐阳光[1],[1]中国人民大学法学院,20,个人破产立法;债务人合作;免责理论;免责路径;免责例外,民商法学,民商法学,民商法学,民商法学,民商法学,,67,yes
68,中国法学,2024,000,2,中华法律文化之起源考,魏琼[1],[1]华东政法大学,19,中华法律文化;起源;传世文献;考古遗存,法律史,法律史,法律史,法律史,法律史,,68,yes
69,中国法学,2021,,3,"中国""宪法实施""的话语体系与演变脉络",苗连营[1],[1]郑州大学法学院,20,宪法实施;话语体系;演变脉络,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,69,yes
70,中国法学,2017,,2,中国与“一带一路”国家税收协定优惠安排与适用争议研究,崔晓静,武汉大学法学院国际法所,21,一带一路;税收协定优惠;国际避税;相互协商程序,国际法学,国际法学,国际法学,国际法学,国际法学,,70,yes
71,中国法学,2022,000,2,"中国人权法学""三大体系""论纲",刘志强[1],[1]广州大学人权研究院,19,人权法学;学科体系;学术体系;话语体系,法学理论,法学理论,法学理论,法学理论,法学理论,,71,yes
72,中国法学,2022,000,5,中国传统司法中的察狱以情及其现代价值,蒋铁初[1],[1]杭州师范大学沈钧儒法学院,19,古代司法;察狱以情;入罪;出罪;经验法则,刑法学,刑法学,刑法学,刑法学,刑法学,,72,yes
73,中国法学,2022,000,5,中国传统司法如何处置“真伪不明”,胡学军[1],[1]华东政法大学法律学院,20,证明责任;疑案处置;真伪不明;法律儒家化;法律实证主义,法律史,法律史,法律史,法律史,法律史,,73,yes
74,中国法学,2021,,3,中国传统生态环境法文化及当代价值研究,柴荣[1],[1]北京师范大学法学院,18,传统生态环境法文化;马克思主义生态观;生态环境法律体系,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,74,yes
75,中国法学,2016,0,6,中国减刑程序公平性的实证研究,林喜芬,上海交通大学凯原法学院,20,减刑;“三类罪犯”;司法公平运动式治理;正当程序,刑法学,刑法学,刑法学,刑法学,刑法学,,75,yes
76,中国法学,2025,000,2,中国刑法学自主知识体系的内涵阐释与建构路径,姚建龙[1],[1]上海社会科学院法学研究所,21,习近平法治思想;刑法学自主知识体系;主体意识;刑法学研究,刑法学,刑法学,刑法学,刑法学,刑法学,,76,yes
77,中国法学,2017,,5,中国刑法立法晚近20年之回眸与前瞻,赵秉志,北京师范大学刑事法律科学研究院暨法学院,22,刑法立法 刑法修正案 刑事制裁措施 适度犯罪化,刑法学,刑法学,刑法学,刑法学,刑法学,,77,yes
78,中国法学,2016,0,1,中国参与国际气候治理的法律立场和策略：以气候正义为视角,曹明德,中国政法大学民商经济法学院,20,气候正义;巴黎气候大会;国家自主贡献;碳排放交易;碳税,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,78,yes
79,中国法学,2020,,6,中国参与极地全球治理的法治构建,杨华[1],[1]上海政法学院,20,极地全球治理;人类共同继承财产;极地法治;极地立法,民商法学,民商法学,民商法学,民商法学,民商法学,,79,yes
80,中国法学,2016,,4,中国反腐败立法的战略转型及其体系化构建,"刘艳红[1,2]",[1]东南大学反腐败法治研究中心;[2]东南大学法学院,27,腐败治理;反腐败立法;体系化,刑法学,刑法学,刑法学,刑法学,刑法学,,80,yes
81,中国法学,2015,0,3,中国在南海的历史性权利,贾宇[1],[1]国家海洋局海洋发展战略研究所,25,南海断续线;历史性水域;历史性权利;历史性所有权,法学理论,法学理论,法学理论,法学理论,法学理论,,81,yes
82,中国法学,2015,0,1,中国基层法院财政制度实证研究,左卫民[1],[1]四川大学法学院,15,基层法院;财政制度;实证研究;司法改革,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,82,yes
83,中国法学,2015,0,1,中国基本法文化的特征及其当代变迁,陈晓枫[1],[1]武汉大学法学院,17,中国基本法;一元权力文化;文化冲突;整合重构,法律史,法律史,法律史,法律史,法律史,,83,yes
84,中国法学,2015,0,4,中国大众平等观念评析,张永和,,19,平等观念;道德平等观;法律平等观;公民平等观;身份平等观,法学理论,法学理论,法学理论,法学理论,法学理论,,84,yes
85,中国法学,2019,,2,"中国宪法上""社会主义市场经济""的规范结构",韩大元[1],[1]中国人民大学法学院,22,社会主义市场经济;中国宪法;非公有制经济,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,85,yes
86,中国法学,2018,,4,中国宪法的环境观及其规范表达,张震,西南政法大学,18,中国宪法;环境观;环境权;环境治理,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,86,yes
87,中国法学,2018,,3,中国式影子银行的风险溯源与监管创新,郭雳,北京大学法学院,22,影子银行;信用中介;脱媒性;期限错配;金融抑制;资产管理,经济法学,经济法学,经济法学,经济法学,经济法学,,87,yes
88,中国法学,2025,000,1,中国式现代化之党规回应,宋功德[1],[1]中共中央办公厅法规局,24,中国式现代化;强治图兴;党内法规制度建设改革;依规治党,党内法规学,宪法学与行政法学,党内法规学,党内法规学,党内法规学,,88,yes
89,中国法学,2025,000,1,中国式现代化背景下社会法体系的完善,"林嘉[1,2]",[1]中国人民大学法学院;[2]民商事法律科学研究中心,21,中国式现代化;保障和改善民生;社会法体系,经济法学,民商法学,经济法学,经济法学,经济法学,,89,yes
90,中国法学,2024,000,4,中国式现代化视域下民事诉权的反思与重塑,任重[1],[1]清华大学法学院,21,民事诉权;中国式现代化;起诉权;胜诉权;立案登记制,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,90,yes
91,中国法学,2020,,3,中国律例统编的传统与现代民法体系中的指导性案例,张生[1],[1]中国社会科学院法学研究所,20,法典简约化;判例成文化;律例统编;民法体系;指导性案例,民商法学,民商法学,民商法学,民商法学,民商法学,,91,yes
92,中国法学,2022,000,4,中国最高审判体制的刑民分立——传统与现代化,聂鑫[1],[1]清华大学法学院,18,最高审判体制;刑民分流;刑民合流;死刑复核;传统与现代,刑法学,刑法学,刑法学,刑法学,刑法学,,92,yes
93,中国法学,2022,000,2,中国比较宪法学的重新定位与方法论重构,刘晗[1],[1]清华大学法学院,18,域外宪法;法律移植;比较宪法学;涉外法治,国际法学,国际法学,国际法学,国际法学,国际法学,,93,yes
94,中国法学,2015,0,4,中国民法典编纂：观念、愿景与思路,薛军,[1]北京大学法学院,25,民法典;法律重述;民法总则;债法总则,民商法学,民商法学,民商法学,民商法学,民商法学,,94,yes
95,中国法学,2018,,5,中国民法学的效率意识,"熊丙万[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学未来法治研究院,20,中国民法学;私人自治;效率意识;公平观念;比例原则,民商法学,民商法学,民商法学,民商法学,民商法学,,95,yes
96,中国法学,2015,0,2,中国法史及法史学研究反思——兼论学术研究的规律,马小红[1],[1]中国人民大学法学院,14,法史研究;学术传承;学术规律,法律史,法律史,法律史,法律史,法律史,,96,yes
97,中国法学,2019,,6,中国法域外适用法律体系:现状、问题与完善,廖诗评[1],[1]北京师范大学法学院,19,域外适用;域外效力;域外管辖;连接点;法律体系,国际法学,国际法学,国际法学,国际法学,国际法学,,97,yes
98,中国法学,2018,,5,中国法治主体性的文化向度,李拥军,吉林大学法学院,20,传统文化;依法治国;法治;主体性,法学理论,法学理论,法学理论,法学理论,法学理论,,98,yes
99,中国法学,2022,000,6,中国法院“案多人少”的实证评估与应对策略,程金华[1],[1]上海交通大学凯原法学院,24,案多人少;司法能力危机;诉讼需求;司法供给;法院管理,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,99,yes
100,中国法学,2022,000,6,中国特色刑法域外适用规则的问题与完善,蒋娜[1],[1]北京师范大学刑事法律科学研究院,19,刑法域外适用;域外效力范围;域外犯罪;多重管辖;增设连接点,国际法学,国际法学,国际法学,国际法学,国际法学,,100,yes
101,中国法学,2024,000,3,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林[1],[1]武汉大学法学院,20,贿赂犯罪;法益;敲诈勒索;谋取不正当利益;紧急避险,刑法学,刑法学,刑法学,刑法学,刑法学,,101,yes
102,中国法学,2015,0,5,中国特色社会主义法治体系的理论基础、指导思想和基本构成,李龙,武汉大学法学院,15,中国特色社会主义法治体系;马克思主义法学;习近平关于依法治国的论述,法学理论,法学理论,法学理论,法学理论,法学理论,,102,yes
103,中国法学,2015,0,5,中国特色社会主义法治道路的时代进程,公丕祥,南京师范大学法学院,24,法治发展;中国道路;社会主义法治;依法治国,法学理论,法学理论,法学理论,法学理论,法学理论,,103,yes
104,中国法学,2023,000,5,中国环境司法的能动协同现象与形成发展逻辑,"张忠民[1,2]",[1]中南财经政法大学法学院;[2]中南财经政法大学生态文明研究院,22,环境司法;政法协同;司法能动主义;党政逻辑;改革逻辑,党内法规学,宪法学与行政法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,104,yes
105,中国法学,2022,000,5,中国知识产权制度现代化的实践与发展,吴汉东[1],[1]中南财经政法大学知识产权研究中心,20,知识产权;制度现代化;思想遵循;中国道路,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,105,yes
106,中国法学,2016,,2,中国语境下的“宪法实施”：一项概念史的考察,翟国强,中国社会科学院法学研究所,16,宪法实施;变法思维;政治化,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,106,yes
107,中国法学,2022,000,6,中国语境下的“检察权”概念考察,王海军[1],[1]华东政法大学法律史研究中心,20,检察制度;检察权;法律监督;概念史,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,107,yes
108,中国法学,2015,0,1,主任检察官制度研究,"最高人民检察院2013年重点课题组[1,2]",[1]复旦大学法学院;[2]上海市闵行区人民检察院,17,主任检察官制;“闵检模式”;制度构建;路径完善,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,108,yes
109,中国法学,2023,000,6,主权原则在中国宪法中的展开,王理万[1],[1]中国政法大学人权研究院,20,人民主权;国家主权;全过程人民民主;总体国家安全观,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,109,yes
110,中国法学,2025,000,1,主渠道目标导向下行政复议与行政诉讼衔接关系研究,曹鎏[1],[1]中国政法大学法治政府研究院,17,主渠道目标;行政复议;行政诉讼;衔接耦合;监督模式,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,110,yes
111,中国法学,2017,,3,习近平互联网法治思想研究,周汉华,中国社会科学院法学研究所,17,习近平互联网法治思想;网络空间法治化;互联网法,数字法学,法学理论,法学理论,国际法学,法学理论,,111,yes
112,中国法学,2017,,5,习近平全球治理与国际法治思想研究,黄进,中国政法大学,18,全球治理 国际法治 人类命运共同体,国际法学,国际法学,国际法学,国际法学,国际法学,,112,yes
113,中国法学,2019,,6,习近平总书记全面依法治国新理念新思想新战略:发展脉络、核心要义和时代意义,付子堂[1],[1]西南政法大学,13,全面依法治国新理念新思想新战略;党的领导;法治体系;信仰法治;“中国之治”;马克思主义法治思想,党内法规学,法学理论,法学理论,法学理论,法学理论,,113,yes
114,中国法学,2017,0,4,习近平文物事业法治思想研究,张舜玺,中国社会科学院法学研究所,18,习近平文物事业法治思想;文物事业权利体系;文物事业法治化,法学理论,法学理论,法学理论,法学理论,法学理论,,114,yes
