pid,rank,title,author,journal,year,category,weighted_score,weighted_std,source,e2_override,e3_merged,round1_avg_std,round2_avg_std,std_improvement,round1_max_std,round2_max_std,dimensions_converged,total_dimensions,round1_err_category,top30,top60,top101_e2_candidate,top101_rank,top101_score,top101_weighted_std,top101_source,top101_reason,top50_proportional,top50_rank,top50_score,top50_weighted_std,problem_originality_avg,problem_originality_std,problem_originality_method,literature_insight_avg,literature_insight_std,literature_insight_method,analytical_framework_avg,analytical_framework_std,analytical_framework_method,logical_coherence_avg,logical_coherence_std,logical_coherence_method,conclusion_consensus_avg,conclusion_consensus_std,conclusion_consensus_method,forward_extension_avg,forward_extension_std,forward_extension_method
1606,23,法条竞合与想象竞合的区分,张明楷,法学研究,2016,刑法学,91.82,3.24,E1+E2,True,,10.75,5.17,5.58,24.5,22.6,5,6,,1,1,1,22,91.82,3.24,E1+E2,top60,1,22,91.82,3.24,88.0,2.67,median(8) [E1+E2],86.0,2.2,median(8) [E1+E2],90.0,1.39,median(8) [E1+E2],92.0,1.28,median(8) [E1+E2],88.0,7.58,median(8) [E1+E2],73.5,15.44,median(8) [E1+E2]
1519,24,整体法秩序视野下被害人自陷风险的理论重塑,陈璇[1],法学研究,2023,刑法学,91.65,5.7,E1+E2,True,,7.03,3.32,3.72,10.9,7.2,6,6,,1,1,1,23,91.65,5.7,E1+E2,top60,1,23,91.65,5.7,86.5,13.9,median(8) [E1+E2],89.0,1.77,median(8) [E1+E2],88.0,2.39,median(8) [E1+E2],92.0,1.49,median(8) [E1+E2],88.0,2.33,median(8) [E1+E2],70.0,5.78,median(8) [E1+E2]
1779,25,财产犯罪中财产性利益的事实占有：以存款债权为中心,徐凌波[1],法学研究,2024,刑法学,91.65,4.77,E1+E2,True,,9.2,3.4,5.8,14.2,5.4,6,6,,1,1,1,24,91.65,4.77,E1+E2,top60,1,24,91.65,4.77,88.0,6.89,median(8) [E1+E2],89.0,3.14,median(8) [E1+E2],89.0,3.88,median(8) [E1+E2],89.0,2.27,median(8) [E1+E2],88.0,7.78,median(8) [E1+E2],72.5,5.22,median(8) [E1+E2]
1481,26,我国证券虚假陈述侵权责任规范模式之重构,邢会强[1],法学研究,2025,民商法学,91.56,7.31,E1+E2,True,,11.42,3.2,8.22,25.8,4.3,6,6,,1,1,1,25,91.56,7.31,E1+E2,top60,1,25,91.56,7.31,85.0,13.71,median(8) [E1+E2],86.5,4.17,median(8) [E1+E2],86.5,8.85,median(8) [E1+E2],89.0,3.34,median(8) [E1+E2],84.5,2.51,median(8) [E1+E2],82.0,2.36,median(8) [E1+E2]
1200,27,代理公开的例外类型和效果,"朱虎[1,2]",法学研究,2019,民商法学,91.53,3.15,E1+E2,True,,9.63,2.48,7.15,27.5,4.3,6,6,,1,1,1,26,91.53,3.15,E1+E2,top60,1,26,91.53,3.15,89.0,3.56,median(8) [E1+E2],84.5,3.73,median(8) [E1+E2],93.0,4.17,median(8) [E1+E2],88.5,0.89,median(8) [E1+E2],87.0,2.17,median(8) [E1+E2],73.0,6.25,median(8) [E1+E2]
1307,28,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青[1],法学研究,2020,刑法学,91.41,3.28,E1+E2,True,,7.13,3.3,3.83,11.4,7.1,6,6,,1,1,1,28,91.41,3.28,E1+E2,top60,1,28,91.41,3.28,90.0,3.29,median(8) [E1+E2],83.5,2.56,median(8) [E1+E2],87.0,4.96,median(8) [E1+E2],92.0,2.14,median(8) [E1+E2],88.0,2.78,median(8) [E1+E2],78,6.65,median(7) [E1+E2]
1710,29,董事间披露义务的法律构造,袁崇霖[1],法学研究,2024,民商法学,91.41,3.62,E1+E2,True,,10.78,5.3,5.48,21.3,20.7,5,6,,1,1,1,27,91.41,3.62,E1+E2,top60,1,27,91.41,3.62,86.5,3.24,median(8) [E1+E2],88.0,3.66,median(8) [E1+E2],92.0,3.76,median(8) [E1+E2],89.0,1.85,median(8) [E1+E2],87.0,2.51,median(8) [E1+E2],75.0,14.69,median(8) [E1+E2]
956,30,公序良俗原则与诚实信用原则的区分,于飞,中国社会科学,2015,民商法学,91.38,3.09,E1+E2+E3,True,forward_extension,8.1,2.58,5.52,12.6,6.3,6,6,,1,1,0,,,,,,0,,,,88.0,2.56,median(8) [E1+E2],88.5,3.68,median(8) [E1+E2],87.5,5.09,median(8) [E1+E2],89.5,1.69,median(8) [E1+E2],90.0,1.28,median(8) [E1+E2],75.0,7.04,median(12) [E1+E2+E3]
1574,31,民法典所有权保留之担保权构成,纪海龙[1],法学研究,2022,民商法学,91.38,6.74,E1+E2,True,,10.63,2.78,7.85,24.7,4.3,6,6,,0,1,1,29,91.38,6.74,E1+E2,top60,0,,,,89.0,14.08,median(8) [E1+E2],88.0,3.59,median(8) [E1+E2],85.5,2.1,median(8) [E1+E2],90.0,2.64,median(8) [E1+E2],87.0,2.51,median(8) [E1+E2],78.0,14.11,median(8) [E1+E2]
683,32,行政法上的不确定法律概念,王天华,中国法学,2016,宪法学与行政法学,91.35,7.59,E1+E2,True,,12.23,5.47,6.77,26.2,21.0,5,6,1-empty-status,0,1,0,,,,,,0,,,,88.0,12.03,median(8) [E1+E2],87.0,2.17,median(8) [E1+E2],80.0,14.28,median(8) [E1+E2],88.0,5.37,median(8) [E1+E2],85.5,1.31,median(8) [E1+E2],82.5,3.93,median(8) [E1+E2]
1711,33,虚假陈述比例连带责任的认定模式与体系展开,邹学庚[1],法学研究,2023,民商法学,91.29,4.03,E1+E2,True,,11.85,2.95,8.9,27.6,3.5,6,6,,0,1,1,30,91.29,4.03,E1+E2,top60,0,,,,90.0,3.73,median(8) [E1+E2],87.5,4.17,median(8) [E1+E2],85.0,3.51,median(8) [E1+E2],89.0,3.81,median(8) [E1+E2],88.0,1.51,median(8) [E1+E2],78.0,12.8,median(8) [E1+E2]
1864,34,生态环境法典的复合结构及其体系化适用,陈海嵩[1],法学研究,2025,环境与资源保护法学,91.26,2.8,E1+E2,True,,8.65,2.57,6.08,15.0,3.6,6,6,,0,1,1,31,91.26,2.8,E1+E2,top60,1,29,91.26,2.8,85.5,3.18,median(8) [E1+E2],85.0,2.5,median(8) [E1+E2],86.5,2.92,median(8) [E1+E2],88.5,2.53,median(8) [E1+E2],88.0,2.56,median(8) [E1+E2],81.0,2.93,median(8) [E1+E2]
1618,35,涉外代理关系准据法的确定,林强[1],法学研究,2020,国际法学,91.24,5.74,E1+E2+E3,True,problem_originality,9.15,2.25,6.9,15.0,3.5,6,6,,0,1,0,,,,,,0,,,,86.5,14.1,median(12) [E1+E2+E3],88.0,2.03,median(8) [E1+E2],85.0,2.27,median(8) [E1+E2],85.0,1.89,median(8) [E1+E2],85.5,2.25,median(8) [E1+E2],80.0,3.25,median(8) [E1+E2]
1909,36,论股东协议的组织法效力,王湘淳[1],中国法学,2025,民商法学,91.0,6.64,E1+E2,True,,8.3,2.13,6.17,21.2,4.6,6,6,,0,1,1,32,91.0,6.64,E1+E2,top60,0,,,,88,8.85,median(7) [E1+E2],88.0,12.44,median(6) [E1+E2],88.0,4.23,median(8) [E1+E2],88,1.57,median(7) [E1+E2],85.0,3.64,median(8) [E1+E2],69.0,3.66,median(8) [E1+E2]
1125,37,不真正不作为犯的边界,姚诗[1],法学研究,2018,刑法学,90.97,6.1,E1+E2,True,,13.2,4.65,8.55,29.2,8.1,5,6,,0,1,1,33,90.97,6.1,E1+E2,top60,0,,,,86.5,9.35,median(8) [E1+E2],85.0,4.38,median(8) [E1+E2],87.5,6.16,median(8) [E1+E2],85,4.42,median(7) [E1+E2],87.0,3.74,median(8) [E1+E2],82.0,4.78,median(8) [E1+E2]
1615,38,注意义务的规范本质与判断标准,陈璇[1],法学研究,2019,刑法学,90.94,5.95,E1+E2,True,,11.85,3.42,8.43,35.8,8.8,5,6,,0,1,1,34,90.94,5.95,E1+E2,top60,0,,,,88.0,10.39,median(8) [E1+E2],86.5,6.82,median(8) [E1+E2],87.0,2.9,median(8) [E1+E2],90.0,2.56,median(8) [E1+E2],89.0,2.14,median(8) [E1+E2],75.0,6.18,median(8) [E1+E2]
820,39,论法律解释目标的逐案决定,陈坤[1],中国法学,2022,法学理论,90.79,4.14,E1+E2+E3,True,"problem_originality,literature_insight",8.18,2.02,6.17,14.2,4.2,6,6,5-boundary-only,0,1,0,,,,,,0,,,,88.0,7.12,median(12) [E1+E2+E3],88.0,4.03,median(12) [E1+E2+E3],85.5,2.77,median(8) [E1+E2],89.0,1.77,median(8) [E1+E2],88.0,2.62,median(8) [E1+E2],79.0,3.4,median(8) [E1+E2]
101,40,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林[1],中国法学,2024,刑法学,90.76,5.42,E1+E2,True,,9.65,1.93,7.72,23.7,2.9,6,6,,0,1,1,35,90.76,5.42,E1+E2,top60,0,,,,86.5,7.08,median(8) [E1+E2],88.0,3.33,median(8) [E1+E2],87.0,2.76,median(8) [E1+E2],90.0,5.04,median(8) [E1+E2],88.0,10.55,median(8) [E1+E2],76.5,3.12,median(8) [E1+E2]
861,41,诈骗罪重构:交易信息操纵理论之提倡,"王莹[1,2]",中国法学,2019,刑法学,90.76,4.31,E1+E2,True,,10.15,3.72,6.43,19.3,6.4,6,6,,0,1,1,36,90.76,4.31,E1+E2,top60,0,,,,88.0,1.96,median(8) [E1+E2],90,3.78,median(7) [E1+E2],88.0,2.56,median(8) [E1+E2],85,4.64,median(7) [E1+E2],82.0,13.79,median(8) [E1+E2],68.0,5.52,median(8) [E1+E2]
946,42,"从""权能分离""到""权利行使""",蔡立东,中国社会科学,2021,民商法学,90.65,3.51,E1+E2,True,,7.1,2.55,4.55,16.1,4.2,6,6,,0,1,1,37,90.65,3.51,E1+E2,top60,0,,,,87.5,2.67,median(8) [E1+E2],89.5,1.69,median(8) [E1+E2],85.0,7.86,median(8) [E1+E2],88.0,2.64,median(8) [E1+E2],87.5,2.56,median(8) [E1+E2],79.0,8.25,median(8) [E1+E2]
1546,43,构成要件错误的本质:故意行为危险的偏离,柏浪涛[1],法学研究,2018,刑法学,90.65,4.7,E1+E2+E3,True,problem_originality,6.5,2.63,3.87,9.5,5.4,6,6,,0,1,0,,,,,,0,,,,85.0,11.14,median(12) [E1+E2+E3],88.0,1.85,median(8) [E1+E2],92.0,2.2,median(8) [E1+E2],88.0,1.36,median(8) [E1+E2],87.0,1.98,median(8) [E1+E2],66.5,3.82,median(8) [E1+E2]
1602,44,法律解释与法律续造的区分标准,陈坤[1],法学研究,2021,法学理论,90.65,3.65,E1+E2+E3,True,problem_originality,7.02,2.17,4.85,14.5,4.1,6,6,,0,1,0,,,,,,0,,,,88.0,7.04,median(12) [E1+E2+E3],89.5,2.03,median(8) [E1+E2],82.0,3.58,median(8) [E1+E2],89.5,1.41,median(8) [E1+E2],89.0,1.49,median(8) [E1+E2],75.0,3.25,median(8) [E1+E2]
1781,45,货币返还请求权规则的重构,马强[1],法学研究,2024,民商法学,90.65,4.5,E1+E2,True,,10.0,3.68,6.32,17.5,12.1,5,6,,0,1,1,38,90.65,4.5,E1+E2,top60,0,,,,86.5,5.55,median(8) [E1+E2],89.0,1.6,median(8) [E1+E2],85.0,9.41,median(8) [E1+E2],90.0,1.73,median(8) [E1+E2],87.0,4.45,median(8) [E1+E2],71.0,6.22,median(8) [E1+E2]
1763,46,论行政行为“明显不当”,何海波,法学研究,2016,宪法学与行政法学,90.62,3.85,E1+E2,True,,14.52,3.42,11.1,26.2,8.3,5,6,,0,1,1,39,90.62,3.85,E1+E2,top60,1,30,90.62,3.85,88,2.15,median(7) [E1+E2],85.0,3.0,median(8) [E1+E2],88.5,9.47,median(8) [E1+E2],89.0,3.11,median(8) [E1+E2],89.0,3.65,median(8) [E1+E2],78.0,3.92,median(8) [E1+E2]
1390,47,基于决定关系的证据客观性:概念、功能与理论定位,徐舒浩[1],法学研究,2021,法学理论,90.59,3.9,E1+E2,True,,11.83,2.9,8.93,30.0,7.3,6,6,,0,1,1,40,90.59,3.9,E1+E2,top60,1,31,90.59,3.9,88.0,4.19,median(8) [E1+E2],87.0,4.34,median(8) [E1+E2],85.0,7.67,median(8) [E1+E2],89.5,1.75,median(8) [E1+E2],88.0,1.75,median(8) [E1+E2],72.0,1.91,median(8) [E1+E2]
1772,48,诈骗罪中的处分意识:必要性及判别,袁国何,法学研究,2021,刑法学,90.59,3.82,E1+E2,True,,9.23,2.55,6.68,13.6,4.5,6,6,,0,1,0,,,,,,0,,,,85.0,2.45,median(8) [E1+E2],89.0,4.53,median(8) [E1+E2],85.0,3.46,median(8) [E1+E2],92.0,3.2,median(8) [E1+E2],88.0,2.56,median(8) [E1+E2],63.5,15.3,median(8) [E1+E2]
1266,49,公司法上社会责任条款司法化的逻辑与再塑,吴维锭[1],法学研究,2024,民商法学,90.56,4.3,E1+E2,True,,7.5,3.17,4.33,9.0,4.7,6,6,,0,1,1,41,90.56,4.3,E1+E2,top60,0,,,,83.5,4.32,median(8) [E1+E2],85.5,4.61,median(8) [E1+E2],82.5,6.15,median(8) [E1+E2],91.0,3.99,median(8) [E1+E2],88.0,2.27,median(8) [E1+E2],80.0,2.78,median(8) [E1+E2]
1218,50,侵害人视角下的正当防卫论,陈璇[1],法学研究,2015,刑法学,90.5,6.63,E1+E2,True,,11.6,3.43,8.17,25.7,9.5,5,6,,0,1,1,42,90.5,6.63,E1+E2,top60,0,,,,86.5,15.82,median(8) [E1+E2],88.0,4.41,median(8) [E1+E2],85.5,2.1,median(8) [E1+E2],90.0,1.51,median(8) [E1+E2],89.5,1.89,median(8) [E1+E2],73.5,3.93,median(8) [E1+E2]
1575,51,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛[1],法学研究,2024,民商法学,90.41,6.32,E1+E2,True,,6.72,3.38,3.33,9.9,6.8,6,6,,0,1,1,43,90.41,6.32,E1+E2,top60,0,,,,88.5,12.36,median(8) [E1+E2],85.0,5.83,median(8) [E1+E2],85.0,3.01,median(8) [E1+E2],90.0,3.18,median(8) [E1+E2],88.0,1.96,median(8) [E1+E2],75.0,3.15,median(8) [E1+E2]
21,52,“审执分离”本质与路径的再认识,张卫平[1],中国法学,2023,诉讼法学,90.32,5.16,E1+E2,True,,9.23,3.87,5.37,17.6,8.7,5,6,,0,1,1,44,90.32,5.16,E1+E2,top60,1,32,90.32,5.16,85.5,5.51,median(8) [E1+E2],85.0,5.42,median(8) [E1+E2],80.5,10.38,median(8) [E1+E2],89.0,2.98,median(8) [E1+E2],88.5,1.67,median(8) [E1+E2],80.0,2.1,median(8) [E1+E2]
882,53,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇[1],中国法学,2023,刑法学,90.29,7.53,E1+E2,True,,7.15,3.17,3.98,10.4,8.1,5,6,,0,1,1,45,90.29,7.53,E1+E2,top60,0,,,,89.0,16.14,median(8) [E1+E2],85.0,5.57,median(8) [E1+E2],86.0,5.71,median(8) [E1+E2],88.0,1.69,median(8) [E1+E2],88.0,2.19,median(8) [E1+E2],74.5,3.3,median(8) [E1+E2]
1277,54,具体的打击错误：从故意认定到故意归责,欧阳本祺,法学研究,2015,刑法学,90.29,4.45,E1+E2,True,,6.55,3.08,3.47,13.8,7.6,6,6,,0,1,1,46,90.29,4.45,E1+E2,top60,0,,,,88.0,6.81,median(8) [E1+E2],88.0,2.03,median(8) [E1+E2],86.0,6.67,median(8) [E1+E2],86.5,3.07,median(8) [E1+E2],88.0,1.92,median(8) [E1+E2],69.5,3.85,median(8) [E1+E2]
407,55,我国飞跃上诉的制度构建:兼论有限三审制的改革路径,方斯远[1],中国法学,2020,诉讼法学,90.26,4.15,E1+E2,True,,8.85,2.8,6.05,16.3,4.6,6,6,,0,1,1,47,90.26,4.15,E1+E2,top60,1,33,90.26,4.15,86.5,5.32,median(8) [E1+E2],82.0,3.54,median(8) [E1+E2],83.5,6.02,median(8) [E1+E2],88.0,3.15,median(8) [E1+E2],90.0,1.81,median(8) [E1+E2],83.5,2.71,median(8) [E1+E2]
1402,56,基本权利的国家保护:从客观价值到主观权利,李海平[1],法学研究,2021,宪法学与行政法学,90.24,3.6,E1+E2,True,,14.77,3.45,11.32,34.9,8.2,5,6,,0,1,1,48,90.24,3.6,E1+E2,top60,1,34,90.24,3.6,85.0,2.56,median(8) [E1+E2],89.0,2.1,median(8) [E1+E2],79.0,8.5,median(8) [E1+E2],86.5,3.23,median(8) [E1+E2],85.0,3.27,median(8) [E1+E2],83.5,3.34,median(8) [E1+E2]
