编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
24,中国法学,2020,“开元六典”的继受传播及对中华法系的影响,胡兴东[1],[1]云南大学法学院,32.5,35.5,32.5,61.5,40.2,44.2,2.9,3.3,2.9,4.7,8.0,9.9,41.08,5.28
25,中国法学,2023,“技术—组织”互动论视角下的中国智慧司法,郑智航[1],[1]山东大学法学院,54.2,79.5,59.2,77,70.2,46,5.7,1.9,12.6,2.0,19.2,10.8,64.38,8.7
26,中国法学,2024,“数字枫桥”的法治原理、模式与机制,杨力[1],[1]上海交通大学凯原法学院、智慧司法研究院,49.2,74.3,71,78,84.2,79.5,22.8,4.0,12.3,3.6,5.9,4.2,72.65,8.8
27,中国法学,2022,“无效行政行为”制度的追溯与认定标准的完善,胡建淼[1],[1]中央党校(国家行政学院)专家工作室,70.8,81.5,70.5,82,88,74.8,3.4,4.0,5.0,3.6,0.0,6.9,77.92,3.82
28,中国法学,2019,“最高国家权力机关”的权力边界,黄明涛[1],[1]武汉大学法学院,67,85,81,86.2,85.8,72.2,28.2,2.4,6.8,2.5,1.5,3.1,79.54,7.42
29,中国法学,2023,“枫桥经验”与当代中国纠纷解决机制结构变迁,彭小龙[1],[1]中国人民大学法学院,81.5,90,77.5,85.8,87.5,82.5,7.5,3.4,5.6,3.0,1.0,3.3,84.12,3.97
30,中国法学,2018,“枫桥经验”视野下的基层社会治理制度供给研究,汪世荣[1],[1]西北政法大学,36.2,42.5,44.2,65.5,65,66.5,6.3,18.5,1.5,5.5,5.7,2.4,53.33,6.65
31,中国法学,2022,“法律脱嵌治理”：中国式邻避纠纷的制度成因及治理,何艳玲[1],[1]中国人民大学公共管理学院,63.5,84.8,79.8,84.3,85.2,73.2,20.7,2.1,5.2,2.1,0.5,2.8,78.22,5.57
32,中国法学,2016,“法治中国”命题的理论逻辑及其展开,王旭,中国人民大学法学院,55,62.2,53,74.2,75.5,66.8,14.8,13.4,2.4,4.3,7.9,5.4,64.87,8.03
33,中国法学,2015,“特区租管地”：一种区域合作法律制度创新模式,董皞[1],[1]广州大学,32,28.8,47.5,82.2,80.2,73.2,4.0,22.9,11.9,5.4,5.9,3.4,57.33,8.92
34,中国法学,2019,“犯罪所得投资收益”追缴的影响因素与判断规则,庄绪龙[1],[1]苏州大学王健法学院,75.8,72.5,73.2,83,86.5,67,1.7,9.7,7.5,3.4,1.7,1.4,76.33,4.23
35,中国法学,2020,“社会主义公共财产”的宪法定位:“合理利用”的规范内涵,李忠夏[1],[1]山东大学法学院,72.5,69.2,65.5,63.8,83,76.5,13.6,12.6,16.0,30.6,3.4,6.0,71.75,13.7
36,中国法学,2018,“绿色原则”在民法典中的贯彻论纲,吕忠梅[1];竺效[2];巩固[3];刘长兴[4];刘超[5],[1]清华大学法学院;[2]中国人民大学法学院;[3]浙江大学光华法学院;[4]华南理工大学法学院;[5]华侨大学法学院,60,76.5,63,84,83.5,75.5,19.1,4.4,7.3,4.2,4.4,7.6,73.75,7.83
37,中国法学,2017,“蛋壳脑袋”规则之反思与解构,孙鹏,西南政法大学民商法学院,78.2,86.5,83.2,85.8,84.2,73.2,15.6,1.9,7.6,1.5,1.7,4.3,81.88,5.43
38,中国法学,2017,“裁执一体化”财产保全的逻辑与改革,刘君博,中央财经大学法学院,64.5,73.8,88.2,84.2,86.5,78.2,14.6,6.8,2.9,4.3,1.7,2.9,79.25,5.53
39,中国法学,2019,"""认""与""缴""二分视角下公司催缴出资制度研究",袁碧华[1],[1]广州大学法学院,68,81.5,84.5,83.8,80.2,67.8,15.7,5.2,1.7,2.1,4.8,6.8,77.62,6.05
40,中国法学,2018,“诉讼爆炸”的中国应对：基于W区法院近三十年审判实践的实证分析,左卫民,四川大学法学院,40,60.8,41.2,65.8,75,79.8,17.3,11.8,1.5,5.9,4.8,5.4,60.42,7.78
41,中国法学,2024,“超期申请行政复议”的形成逻辑与体系化应对,范伟[1],[1]中国政法大学法律硕士学院,74.8,75.5,88,88.2,80.5,79.5,8.1,3.0,4.0,2.9,6.1,1.9,81.08,4.33
42,中国法学,2019,“长臂管辖权”的法理分析与对策研究,肖永平[1],[1]武汉大学国际法研究所,44.8,66.8,61.5,78.2,81.2,65,22.3,3.5,6.0,5.7,3.0,2.4,66.25,7.15
43,中国法学,2016,“预防性”反恐刑事立法思考,何荣功,武汉大学法学院,77.8,85.8,55.8,75.8,80.5,78.8,6.8,1.5,15.6,4.3,1.9,3.0,75.71,5.52
44,中国法学,2017,《中华人民共和国民法总则》的制定,"张鸣起[1,2,3]",[1]十二届全国人民代表大会法律委员会;[2]中国法学会;[3]中国法学会民法典起草研究领导小组,30,35.8,35,46.2,42.5,30,0.0,13.1,4.1,14.4,5.0,10.0,36.58,7.77
45,中国法学,2024,《刑事诉讼法》再修改之证据制度完善,张保生[1],[1]中国政法大学证据科学教育部重点实验室、司法文明协同创新中心、重罪检察证据分析研究基地,56.8,57.5,54,84,86,80.8,25.7,13.3,20.5,1.4,1.4,3.4,69.83,10.95
46,中国法学,2019,《大清律例》条标的运用与启示,王立民[1],[1]华东政法大学,30,28.8,40.8,52.5,45,40.5,0.0,23.2,10.6,8.8,0.0,17.3,39.58,9.98
47,中国法学,2023,《民法典》背景下劳动法与民法的关系,王全兴[1],[1]上海财经大学法学院,75.5,72,81,84,87.5,83,2.6,5.7,6.2,5.6,3.3,2.4,80.35,4.3
48,中国法学,2022,《民法典》视域下的一般人格权,温世扬[1],[1]武汉大学法学院,65,83.2,74.8,89,88,78.2,20.1,2.8,3.8,2.0,1.4,4.7,79.71,5.8
49,中国法学,2019,《民法总则》民商合一中国模式之检讨,李建伟[1],[1]中国政法大学民商经济法学院,66.8,84.5,58.2,88,85,79.5,15.1,2.6,17.7,6.7,2.4,4.2,77,8.12
50,中国法学,2023,《行政处罚法》主观过错条款适用展开,熊樟林[1],[1]东南大学法学院,75,81,72,86,85.8,80.2,14.1,3.6,16.5,4.2,3.3,3.3,80,7.5
51,中国法学,2018,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,82,89,85.2,86.8,84,71.2,5.4,1.2,5.3,3.5,2.3,5.4,83.04,3.85
52,中国法学,2016,上市公司私有化的监管逻辑与路径选择,李文莉,上海对外经贸大学法学院,56.2,77.5,58.5,80.5,79.5,71,21.9,4.1,13.4,3.0,1.9,1.2,70.54,7.58
53,中国法学,2022,上市公司虚假陈述行政处罚内部责任人认定逻辑之改进,邢会强[1],[1]中央财经大学法学院,77.2,68.8,89.8,86,82.2,78.2,4.6,9.4,3.3,1.4,2.1,2.9,80.38,3.95
54,中国法学,2018,不动产被征收人参与权的价值定位与制度重构,渠滢,华东政法大学中国法治战略研究中心,68.5,72.5,81.8,81,82.5,65,11.4,3.3,6.5,2.6,6.4,7.3,75.21,6.25
55,中国法学,2024,不当联结禁止原则的重述与应用,金成波[1],[1]中共中央党校(国家行政学院)政治和法律教研部,72.8,71.5,76,73.8,82,66.2,7.7,18.0,1.7,9.6,3.6,4.3,73.61,7.48
56,中国法学,2017,不正当竞争行为认定中的实用主义批判,焦海涛,安徽大学法学院,71.8,85,78.8,86.8,84.2,76.8,18.3,7.4,5.4,2.4,1.5,5.7,80.54,6.78
57,中国法学,2023,不确定鉴定意见的证据属性及功能,郭华[1],[1]中央财经大学法学院,85,74,65.2,88,86.5,75.8,2.4,4.2,13.9,4.3,1.9,7.9,79.08,5.77
58,中国法学,2020,不阻止他人犯罪的刑事责任,黎宏[1],[1]清华大学法学院,73,87.2,77.2,86.5,84.2,65.2,12.4,4.6,7.0,3.0,1.5,0.5,78.92,4.83
59,中国法学,2024,世界刑事诉讼的四次革命,"冀祥德[1,2]",[1]中国社会科学院法学研究所;[2]中国社会科学院大学法学院,33.8,60,61.8,78,68.5,64.5,4.8,6.3,11.6,8.9,17.7,8.8,61.08,9.68
60,中国法学,2015,东京审判与追究侵略之罪责,朱文奇,中国人民大学法学院,46.5,43.8,26.2,66.8,72.5,43.8,7.0,10.3,11.8,4.3,3.3,15.5,49.92,8.7
61,中国法学,2021,个人信息国家保护义务及展开,王锡锌,教育部人文社会科学重点研究基地北京大学宪法与行政法研究中心,75,85.2,72.2,88.5,89,75.5,7.3,2.5,12.3,1.0,0.8,3.0,80.92,4.48
62,中国法学,2021,"个人信息处理中的""同意""与""同意撤回""",万方,北京外国语大学法学院,69.5,77.2,77.8,83.8,83.2,73,9.8,1.5,11.8,4.2,7.6,5.8,77.42,6.78
63,中国法学,2022,个人信息处理者过错推定责任研究,王道发[1],[1]中央财经大学法学院,68.8,78.5,67.8,87,86.5,60,22.9,9.0,20.7,5.0,1.7,6.7,74.75,11.0
64,中国法学,2019,个人信息权作为民事权利之证成:以知识产权为参照,吕炳斌[1],[1]南京大学法学院,70,76.5,75.8,80.8,85,52.2,18.1,4.4,10.8,3.0,0.0,15.2,73.38,8.58
65,中国法学,2020,个人所得税纳税义务的法律建构,叶姗[1],[1]北京大学法学院,41.2,83.5,67.5,74.8,77.8,59.5,2.5,5.8,17.1,5.7,7.1,4.8,67.38,7.17
66,中国法学,2024,个人数据交易的私法制度构造研究,夏庆锋[1],[1]安徽大学法学院,65.5,78.8,69.8,77.2,76,60.5,11.2,9.0,5.6,4.6,10.1,4.2,71.29,7.45
67,中国法学,2021,个人破产免责的理论基础与规范构建,徐阳光[1],[1]中国人民大学法学院,61.2,83.5,55.8,86.5,86.8,69.2,17.6,1.7,14.3,1.7,1.5,3.4,73.83,6.7
68,中国法学,2024,中华法律文化之起源考,魏琼[1],[1]华东政法大学,31.2,56.8,37.8,74.8,67.5,33.8,2.5,14.6,3.1,5.7,6.1,4.8,50.29,6.13
69,中国法学,2021,"中国""宪法实施""的话语体系与演变脉络",苗连营[1],[1]郑州大学法学院,35,80.8,50,73,78,68.8,7.1,3.8,2.3,6.3,5.7,3.0,64.25,4.7
70,中国法学,2017,中国与“一带一路”国家税收协定优惠安排与适用争议研究,崔晓静,武汉大学法学院国际法所,33.8,40,47.2,70.5,71,73.8,4.8,15.8,3.6,1.9,8.0,2.5,56.04,6.1
71,中国法学,2022,"中国人权法学""三大体系""论纲",刘志强[1],[1]广州大学人权研究院,33.8,83.8,45.8,74.2,72.2,69,4.8,5.7,1.5,4.3,8.3,7.4,63.12,5.33
72,中国法学,2022,中国传统司法中的察狱以情及其现代价值,蒋铁初[1],[1]杭州师范大学沈钧儒法学院,79,62.2,65,84.2,83.2,70.5,9.2,37.1,15.9,4.6,1.5,4.2,74.04,12.08
73,中国法学,2022,中国传统司法如何处置“真伪不明”,胡学军[1],[1]华东政法大学法律学院,69,81.8,56.8,78.2,85,73,21.1,4.3,5.4,7.5,2.4,2.4,73.96,7.18
74,中国法学,2021,中国传统生态环境法文化及当代价值研究,柴荣[1],[1]北京师范大学法学院,30,36.8,32.8,56.2,47,53.8,0.0,13.9,6.4,8.5,5.0,8.5,42.75,7.05
75,中国法学,2016,中国减刑程序公平性的实证研究,林喜芬,上海交通大学凯原法学院,62.5,60.5,82,80.5,79.2,74.8,21.9,8.5,7.0,3.0,3.0,3.8,73.25,7.87
76,中国法学,2025,中国刑法学自主知识体系的内涵阐释与建构路径,姚建龙[1],[1]上海社会科学院法学研究所,31.2,82.2,48.2,78,80.8,71.2,2.5,6.9,5.3,4.3,6.0,2.5,65.29,4.58
77,中国法学,2017,中国刑法立法晚近20年之回眸与前瞻,赵秉志,北京师范大学刑事法律科学研究院暨法学院,30,40.8,33.8,75.2,84.2,74.2,4.1,17.7,2.5,4.7,8.2,8.7,56.38,7.65
78,中国法学,2016,中国参与国际气候治理的法律立场和策略：以气候正义为视角,曹明德,中国政法大学民商经济法学院,32.5,68.2,45.8,77.2,68.8,68,5.0,10.1,7.4,4.6,6.4,5.4,60.08,6.48
79,中国法学,2020,中国参与极地全球治理的法治构建,杨华[1],[1]上海政法学院,33.8,53.8,34,66.5,63.2,64,4.8,14.4,14.8,6.0,7.6,6.2,52.54,8.97
80,中国法学,2016,中国反腐败立法的战略转型及其体系化构建,"刘艳红[1,2]",[1]东南大学反腐败法治研究中心;[2]东南大学法学院,50.2,76.8,70,79,80,74,14.1,11.5,6.3,2.0,4.4,6.2,71.67,7.42
81,中国法学,2015,中国在南海的历史性权利,贾宇[1],[1]国家海洋局海洋发展战略研究所,35,49.5,63,77.5,87,43.5,2.4,22.6,19.6,8.2,6.2,9.5,59.25,11.42
82,中国法学,2015,中国基层法院财政制度实证研究,左卫民[1],[1]四川大学法学院,43.2,52.5,40.5,85,84.2,81.2,5.7,9.6,1.9,6.0,4.3,2.2,64.46,4.95
83,中国法学,2015,中国基本法文化的特征及其当代变迁,陈晓枫[1],[1]武汉大学法学院,31.2,75,39.5,84,80.8,54.5,2.5,2.4,12.8,4.2,3.8,20.8,60.83,7.75
84,中国法学,2015,中国大众平等观念评析,张永和,,31.2,37,35,67,53.2,50.8,6.3,2.4,0.0,14.0,12.9,15.0,45.71,8.43
85,中国法学,2019,"中国宪法上""社会主义市场经济""的规范结构",韩大元[1],[1]中国人民大学法学院,46.2,52.8,47,78.5,79.8,71,8.5,35.3,2.4,2.5,5.6,4.2,62.54,9.75
86,中国法学,2018,中国宪法的环境观及其规范表达,张震,西南政法大学,31.2,65.8,59.2,77,75.8,69.5,2.5,11.0,7.2,3.5,4.9,5.2,63.08,5.72
87,中国法学,2018,中国式影子银行的风险溯源与监管创新,郭雳,北京大学法学院,66.5,71,71.5,83,85.5,73.8,12.8,6.2,6.0,3.9,3.3,4.3,75.21,6.08
88,中国法学,2025,中国式现代化之党规回应,宋功德[1],[1]中共中央办公厅法规局,30,25,40,65,50.8,63.8,0.0,4.1,0.0,13.4,16.3,20.2,45.75,9.0
89,中国法学,2025,中国式现代化背景下社会法体系的完善,"林嘉[1,2]",[1]中国人民大学法学院;[2]民商事法律科学研究中心,33.8,62.5,40,62.5,51.2,58.2,2.5,10.5,7.1,5.0,7.5,6.5,51.38,6.52
90,中国法学,2024,中国式现代化视域下民事诉权的反思与重塑,任重[1],[1]清华大学法学院,69.8,82.8,82.5,88.5,68.2,73,6.7,5.9,7.0,2.6,17.6,6.2,77.46,7.67
91,中国法学,2020,中国律例统编的传统与现代民法体系中的指导性案例,张生[1],[1]中国社会科学院法学研究所,46.8,71.2,63.2,80.8,85.8,81,20.5,15.1,5.7,3.4,1.5,2.7,71.46,8.15
92,中国法学,2022,中国最高审判体制的刑民分立——传统与现代化,聂鑫[1],[1]清华大学法学院,35,55.5,43.8,77.2,81.5,76.8,7.1,37.3,2.5,2.2,4.0,1.5,61.62,9.1
93,中国法学,2022,中国比较宪法学的重新定位与方法论重构,刘晗[1],[1]清华大学法学院,78,88.8,58.8,86.2,84.5,80.2,4.3,2.5,6.5,4.2,1.7,3.3,79.42,3.75
94,中国法学,2015,中国民法典编纂：观念、愿景与思路,薛军,[1]北京大学法学院,63.5,72,75,82.8,85.8,71,19.1,23.5,7.3,5.9,1.5,4.2,75,10.25
95,中国法学,2018,中国民法学的效率意识,"熊丙万[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学未来法治研究院,61.8,82,53.2,88.8,82.2,70.8,21.3,8.0,18.4,3.0,2.1,3.0,73.12,9.3
96,中国法学,2015,中国法史及法史学研究反思——兼论学术研究的规律,马小红[1],[1]中国人民大学法学院,39.2,61.8,33.8,73.8,61,37,6.5,11.6,2.5,2.1,17.6,25.4,51.08,10.95
97,中国法学,2019,中国法域外适用法律体系:现状、问题与完善,廖诗评[1],[1]北京师范大学法学院,37.5,52.5,50.8,77.2,84.5,77.8,5.0,18.9,15.1,2.2,3.4,2.1,63.38,7.78
98,中国法学,2018,中国法治主体性的文化向度,李拥军,吉林大学法学院,32,27.5,35.8,64,67.5,58.2,4.0,19.4,1.5,4.9,16.8,7.7,47.5,9.05
99,中国法学,2022,中国法院“案多人少”的实证评估与应对策略,程金华[1],[1]上海交通大学凯原法学院,40,73.8,68.5,87.5,84,80,10.8,11.1,9.1,4.1,4.2,1.6,72.29,6.82
100,中国法学,2022,中国特色刑法域外适用规则的问题与完善,蒋娜[1],[1]北京师范大学刑事法律科学研究院,36.2,68,46.2,84,75.8,75.2,7.5,6.8,21.0,9.2,1.5,3.8,64.25,8.3
101,中国法学,2024,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林[1],[1]武汉大学法学院,88.2,87.2,86,92.2,88.5,75.8,2.4,2.2,1.4,2.1,0.6,2.9,86.33,1.93
102,中国法学,2015,中国特色社会主义法治体系的理论基础、指导思想和基本构成,李龙,武汉大学法学院,30,12.5,30.8,40,30.8,32.5,0.0,8.7,3.0,4.1,10.6,2.9,29.42,4.88
103,中国法学,2015,中国特色社会主义法治道路的时代进程,公丕祥,南京师范大学法学院,30,7.5,36.2,40,41.2,35.8,0.0,8.7,7.5,9.1,4.8,10.3,31.79,6.73
104,中国法学,2023,中国环境司法的能动协同现象与形成发展逻辑,"张忠民[1,2]",[1]中南财经政法大学法学院;[2]中南财经政法大学生态文明研究院,37.5,69.5,49.2,81.8,71.5,60.5,12.6,8.4,6.5,2.9,11.1,15.0,61.67,9.42
105,中国法学,2022,中国知识产权制度现代化的实践与发展,吴汉东[1],[1]中南财经政法大学知识产权研究中心,30,49.5,36.2,70.5,62.2,83.2,0.0,13.1,2.5,4.2,5.1,5.7,55.29,5.1
106,中国法学,2016,中国语境下的“宪法实施”：一项概念史的考察,翟国强,中国社会科学院法学研究所,63.8,76.8,40.8,79.2,74,64,15.5,3.5,3.0,6.8,8.6,4.6,66.42,7.0
107,中国法学,2022,中国语境下的“检察权”概念考察,王海军[1],[1]华东政法大学法律史研究中心,36.2,69.5,40.8,76.8,79,31.2,6.3,7.1,8.5,11.5,2.0,11.1,55.58,7.75
108,中国法学,2015,主任检察官制度研究,"最高人民检察院2013年重点课题组[1,2]",[1]复旦大学法学院;[2]上海市闵行区人民检察院,30,43.8,65.8,72.8,61.8,73,0.0,8.5,5.9,2.2,9.3,4.8,57.83,5.12
109,中国法学,2023,主权原则在中国宪法中的展开,王理万[1],[1]中国政法大学人权研究院,43.8,69.5,59.2,81,73.5,60.8,10.3,1.9,18.4,5.7,17.5,4.3,64.62,9.68
110,中国法学,2025,主渠道目标导向下行政复议与行政诉讼衔接关系研究,曹鎏[1],[1]中国政法大学法治政府研究院,61.8,83.2,63.5,82,82.5,80,22.5,1.5,18.1,4.7,5.3,4.4,75.5,9.42
111,中国法学,2017,习近平互联网法治思想研究,周汉华,中国社会科学院法学研究所,30,12.5,38.8,55,20,42,0.0,10.4,9.5,14.7,10.0,10.6,33.04,9.2
112,中国法学,2017,习近平全球治理与国际法治思想研究,黄进,中国政法大学,24,18.8,31.2,43.2,35,23.8,6.9,14.4,7.5,10.9,0.0,7.5,29.33,7.87
113,中国法学,2019,习近平总书记全面依法治国新理念新思想新战略:发展脉络、核心要义和时代意义,付子堂[1],[1]西南政法大学,30,0,42.5,35,35.5,25,0.0,0.0,2.9,15.8,4.9,0.0,28,3.93
114,中国法学,2017,习近平文物事业法治思想研究,张舜玺,中国社会科学院法学研究所,33.8,26.2,33.8,52.5,42.2,46.2,4.8,10.3,2.5,19.1,2.1,15.5,39.12,9.05
115,中国法学,2022,习近平法治思想中的构建新型诉讼格局理论,程琥[1],[1]北京市第一中级人民法院,35,51.2,43,76,62.8,55.5,4.1,21.4,7.3,1.4,13.9,9.9,53.92,9.67
116,中国法学,2024,习近平法治思想中的社会公平正义理论研究,胡玉鸿[1],[1]华东政法大学人权研究院、习近平法治思想研究中心,32,52.5,38.8,78.5,48,41.8,4.0,22.8,4.8,4.7,24.6,8.3,48.58,11.53
117,中国法学,2021,"坚持抓住领导干部这个""关键少数""",陈训秋[1],[1]中国法学会,28.8,2.5,31.2,38.8,38,22.5,2.5,5.0,7.5,8.5,12.8,5.0,26.96,6.88
118,中国法学,2021,习近平法治思想是马克思主义法治理论中国化的新发展新飞跃,"王晨[1,2,3]",[1]中共中央政治局;[2]全国人大常委会;[3]中国法学会,30,10,37.5,66.5,28.8,36.2,0.0,8.2,2.9,8.3,25.3,13.1,34.83,9.63
119,中国法学,2023,习近平法治思想的司法理论,游劝荣[1],[1]湖北省高级人民法院,30,1.8,30,62.2,31.2,21.2,0.0,2.4,7.1,6.1,8.5,8.5,29.42,5.43
120,中国法学,2024,习近平法治思想的法治文明论,郭晔[1],[1]北京师范大学法学院,30,40.8,43.8,76.8,56.5,40,0.0,6.8,2.5,6.7,14.3,10.0,47.96,6.72
121,中国法学,2021,习近平法治思想的生态文明法治理论,吕忠梅,清华大学法学院,33.8,37,46.5,71,41.2,63.8,2.5,7.3,1.7,4.2,7.5,15.5,48.88,6.45
122,中国法学,2021,习近平法治思想要义的法理解读,卓泽渊,中共中央党校(国家行政学院),22.5,7.5,32.2,53.2,34.5,30,8.7,5.0,12.4,3.5,9.9,0.0,30,6.58
123,中国法学,2016,争议专属经济区内适度性执法研究,熊勇先,海南大学法学院,47.5,58.2,69.2,78.5,79.2,47.8,15.5,10.4,8.7,6.0,5.6,19.9,63.42,11.02
124,中国法学,2015,事实因果与刑法中的结果归责,劳东燕[1],[1]清华大学法学院,85.8,78.2,89,88.5,84.2,79.5,2.9,11.6,3.4,1.0,8.5,4.2,84.21,5.27
125,中国法学,2015,事实认定“难题”与法官独立审判责任落实,侣化强,重庆大学法学院,83.8,78.8,75.5,77.5,73.5,75.8,3.9,4.6,13.8,1.7,5.8,1.5,77.46,5.22
126,中国法学,2020,二审上诉问题重述:以认罪认罚案件为例,郭烁[1],[1]北京交通大学法学院,79.5,82,56.8,84.8,80,81.2,8.4,6.8,8.9,4.7,4.4,3.0,77.38,6.03
127,中国法学,2020,互构关系中社区矫正对象与性质定位研究,郑丽萍[1],[1]北京航空航天大学法学院,67,86.5,57.5,82.5,81.8,76,5.0,1.7,17.8,7.6,2.9,4.2,75.21,6.53
128,中国法学,2024,互联网司法的正义体系,王福华[1],[1]上海交通大学凯原法学院,41.2,59.2,65,83.5,85,76,10.3,20.6,14.0,3.0,2.4,4.2,68.33,9.08
129,中国法学,2022,互联网法院的时代创新与中国贡献,景汉朝[1],[1]中国法学会,33.5,84.5,59.2,74,65.8,79.8,4.4,3.3,5.1,1.7,8.3,3.3,65.78,4.35
130,中国法学,2015,互联网金融风险规制路径,"杨东[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,50.8,70.5,69.2,75.8,69.2,68.8,14.1,10.8,6.8,8.9,9.9,9.4,67.38,9.98
131,中国法学,2021,交易性贬值损失之赔偿,张红,武汉大学法学院,83.5,82.8,69,87,81.2,67,7.0,7.7,8.4,2.4,3.0,3.4,78.42,5.32
