排名,论文ID,年份,期刊,题目,作者,分类,E1总分,E1标准差,E1总分±标准差,模型数
96,247,2020,中国法学,区际利益补偿权利生成与基本构造,"陈婉玲[1,2]",法学理论,72.975,8.26,72.975 ± 8.26,4
97,1166,2020,法学研究,中国行政诉讼中的府院互动,章志远[1],诉讼法学,72.463,10.16,72.463 ± 10.16,4
98,1351,2020,法学研究,合意式刑事诉讼论,王新清[1],刑法学,72.213,9.23,72.213 ± 9.23,4
99,1053,2020,中国社会科学,著作权法中的公众使用权,刘银良[1],知识产权法学,72.200,14.98,72.200 ± 14.98,3
100,580,2020,中国法学,现货与期货交易的界分标准与法律规制,吴越[1],经济法学,71.938,11.27,71.938 ± 11.27,4
101,757,2020,中国法学,论反垄断法的重构:应对数字经济的挑战,"杨东[1,2]",经济法学,71.912,5.15,71.912 ± 5.15,4
102,1758,2020,法学研究,论权利之功能,张恒山[1],法学理论,71.800,10.43,71.800 ± 10.43,4
103,253,2020,中国法学,反不正当竞争法中“一定影响”的语义澄清与意义验证,刘继峰[1],经济法学,71.625,12.29,71.625 ± 12.29,4
104,767,2020,中国法学,论国际航空私法条约适用的强制性,董念清[1],国际法学,70.950,6.19,70.950 ± 6.19,4
105,1590,2020,法学研究,法学研究目标受众选择的大数据分析,周翔[1];刘东亮[2],民商法学,70.800,10.20,70.800 ± 10.20,4
106,35,2020,中国法学,“社会主义公共财产”的宪法定位:“合理利用”的规范内涵,李忠夏[1],宪法学与行政法学,70.300,15.76,70.300 ± 15.76,4
107,911,2020,中国法学,高等学校“非升即走”聘用合同法律性质及其制度法治逻辑,徐靖[1],民商法学,69.838,6.43,69.838 ± 6.43,4
108,1153,2020,法学研究,中国民法典总则与分则之间的统辖遵从关系,孙宪忠[1],民商法学,69.812,9.14,69.812 ± 9.14,4
109,623,2020,中国法学,算法规制的谱系,苏宇[1],宪法学与行政法学,69.100,11.36,69.100 ± 11.36,4
110,1339,2020,法学研究,司法人工智能的重塑效应及其限度,马长山[1],诉讼法学,68.775,12.15,68.775 ± 12.15,4
111,1325,2020,法学研究,劳动者社交媒体言论自由及其限制,谢增毅[1],法学理论,68.462,8.31,68.462 ± 8.31,4
112,326,2020,中国法学,大规模侵害个人信息高额罚款研究,孙莹[1],宪法学与行政法学,67.950,11.68,67.950 ± 11.68,4
113,1187,2020,法学研究,人工智能与事实认定,栗峥[1],诉讼法学,67.375,10.67,67.375 ± 10.67,4
114,549,2020,中国法学,法律适用中理由和观点的关系:局外观察视角,刘星[1],法学理论,66.762,11.10,66.762 ± 11.10,4
115,91,2020,中国法学,中国律例统编的传统与现代民法体系中的指导性案例,张生[1],民商法学,66.537,11.01,66.537 ± 11.01,4
116,555,2020,中国法学,法理即法律原理之解说,"胡玉鸿[1,2]",法学理论,65.062,8.65,65.062 ± 8.65,4
117,1110,2020,法学研究,“御史监察”的历史构造与运转实效,明辉[1],法律史,65.000,9.49,65.000 ± 9.49,3
118,65,2020,中国法学,个人所得税纳税义务的法律建构,叶姗[1],经济法学,64.900,6.57,64.900 ± 6.57,4
119,157,2020,中国法学,作为化解行政争议主渠道的行政复议:功能反思及路径优化,曹鎏[1],宪法学与行政法学,64.338,14.65,64.338 ± 14.65,4
120,1250,2020,法学研究,全球金融治理的合法性困局及其应对,"廖凡[1,2]",法学理论,62.988,6.27,62.988 ± 6.27,4
121,1795,2020,法学研究,近代中国刑事上诉制度的生成及展开,胡震[1],法律史,62.950,6.48,62.950 ± 6.48,4
122,1075,2020,中国社会科学,论我国检察权的新发展,周新[1],诉讼法学,62.800,8.06,62.800 ± 8.06,4
123,953,2020,中国社会科学,依宪立法原则与合宪性审查,莫纪宏[1],宪法学与行政法学,62.537,11.83,62.537 ± 11.83,4
124,193,2020,中国法学,公司法定代表人越权签署的担保合同效力规则的反思与重构,刘俊海[1],民商法学,62.425,12.85,62.425 ± 12.85,4
125,783,2020,中国法学,论我国“特定区域”法治先行,王春业[1],法学理论,61.763,7.68,61.763 ± 7.68,4
126,1589,2020,法学研究,法学研究新范式: 计算法学的内涵、范畴与方法,申卫星[1];刘云[1],数字法学,61.387,4.73,61.387 ± 4.73,4
127,143,2020,中国法学,从基础司改到综配司改:“内卷化”效应纾解,"杨力[1,2]",诉讼法学,60.700,6.97,60.700 ± 6.97,4
128,554,2020,中国法学,法理:法实践的正当性理由,郭晔[1],法学理论,60.375,12.73,60.375 ± 12.73,4
129,1396,2020,法学研究,基层法院的执行生态与非均衡执行,于龙刚[1],环境与资源保护法学,60.312,8.00,60.312 ± 8.00,4
130,890,2020,中国法学,通过政策的司法治理,李红勃[1],法学理论,60.288,12.90,60.288 ± 12.90,4
131,373,2020,中国法学,我国公共卫生法治的理论坐标与制度构建,李广德[1],环境与资源保护法学,60.125,5.83,60.125 ± 5.83,4
132,811,2020,中国法学,论民事诉讼中的协同主义,杨严炎[1],诉讼法学,59.275,15.16,59.275 ± 15.16,4
133,763,2020,中国法学,论唐代无主物法律制度,顾元[1],法律史,58.575,9.58,58.575 ± 9.58,4
134,538,2020,中国法学,法律权力的含义和属性,"吴玉章[1,2]",宪法学与行政法学,58.062,5.34,58.062 ± 5.34,4
135,646,2020,中国法学,网络社会司法治理的实践探索与前景展望,李占国[1],诉讼法学,57.838,6.38,57.838 ± 6.38,4
136,608,2020,中国法学,科研项目经费管理改革的法治化路径,蒋悟真[1],法学理论,57.562,10.16,57.562 ± 10.16,4
137,1081,2020,中国社会科学,论法律学说的司法运用,彭中礼[1],法学理论,57.375,7.89,57.375 ± 7.89,4
138,277,2020,中国法学,员额法官遴选机制改革实证研究:以A省为样板,左卫民[1],诉讼法学,57.213,16.87,57.213 ± 16.87,4
139,944,2020,中国社会科学,人性民法与物性刑法的融合发展,刘艳红[1],刑法学,56.112,10.41,56.112 ± 10.41,4
140,724,2020,中国法学,论中国特色国际税收法治体系之建构,崔晓静[1],法学理论,55.788,10.35,55.788 ± 10.35,4
141,470,2020,中国法学,机关运行保障的立法逻辑,"湛中乐[1,2]",宪法学与行政法学,55.775,7.97,55.775 ± 7.97,4
142,766,2020,中国法学,论国家治理体系下的检察公益诉讼,刘艺[1],诉讼法学,54.850,7.83,54.850 ± 7.83,4
143,256,2020,中国法学,司法人员职务犯罪双重管辖制度的多维思考,吴建雄[1],刑法学,54.500,10.18,54.500 ± 10.18,4
144,276,2020,中国法学,合规制度的公司法设计及其实现路径,赵万一[1],民商法学,54.375,7.53,54.375 ± 7.53,4
145,363,2020,中国法学,张居正改革中的考成法考论,陈国平[1],法律史,51.637,5.16,51.637 ± 5.16,4
146,891,2020,中国法学,通过立法的文化传承,杨建军[1],法学理论,49.750,5.73,49.750 ± 5.73,4
147,163,2020,中国法学,侵权责任编:在承继中完善和创新,"张新宝[1,2]",民商法学,49.512,5.01,49.512 ± 5.01,4
148,504,2020,中国法学,民法典人格权编的亮点与创新,"王利明[1,2]",民商法学,49.475,5.01,49.475 ± 5.01,4
149,1165,2020,法学研究,中国第一代马克思主义法学家的理论开创,程梦婧[1],法学理论,49.163,6.18,49.163 ± 6.18,4
150,79,2020,中国法学,中国参与极地全球治理的法治构建,杨华[1],民商法学,48.800,8.79,48.800 ± 8.79,4
151,333,2020,中国法学,婚姻家庭编的创新和发展,"夏吟兰[1,2]",民商法学,48.058,9.86,48.058 ± 9.86,3
152,395,2020,中国法学,我国继承制度的完善与规则适用,"杨立新[1,2]",民商法学,46.688,8.21,46.688 ± 8.21,4
153,1479,2020,法学研究,我国社区矫正法的历史地位与立法特点,吴宗宪[1],刑法学,44.437,6.07,44.437 ± 6.07,4
154,332,2020,中国法学,契约文明起源考:以古代西亚为中心,魏琼[1],法律史,43.067,7.85,43.067 ± 7.85,3
155,24,2020,中国法学,“开元六典”的继受传播及对中华法系的影响,胡兴东[1],法律史,40.263,4.21,40.263 ± 4.21,4
