编号,期刊,年份,卷,期,题目,作者,作者机构,页数,原分类,专家分类,分类情形
20,中国法学,2018,,4,“契约＋非要式＋任意撤销权”：赠与的理论模式与规范分析,李永军,中国政法大学,18,民商法学,,
21,中国法学,2023,000,6,“审执分离”本质与路径的再认识,张卫平[1],[1]烟台大学,21,诉讼法学,,
22,中国法学,2019,,3,“居住权”之定位与规则设计,"鲁晓明[1,2]",[1]广东财经大学法学院;[2]广东财经大学法治与经济研究所,17,民商法学,,
23,中国法学,2021,0,6,"""应税所得""的法律建构与所得税法现代化",施正文[1],[1]中国政法大学民商经济法学院,21,经济法学,,
24,中国法学,2020,,3,“开元六典”的继受传播及对中华法系的影响,胡兴东[1],[1]云南大学法学院,19,法律史,,
25,中国法学,2023,000,3,“技术—组织”互动论视角下的中国智慧司法,郑智航[1],[1]山东大学法学院,19,诉讼法学,,
26,中国法学,2024,000,5,“数字枫桥”的法治原理、模式与机制,杨力[1],[1]上海交通大学凯原法学院、智慧司法研究院,22,诉讼法学,,
27,中国法学,2022,000,4,“无效行政行为”制度的追溯与认定标准的完善,胡建淼[1],[1]中央党校(国家行政学院)专家工作室,21,宪法学与行政法学,,
28,中国法学,2019,,1,“最高国家权力机关”的权力边界,黄明涛[1],[1]武汉大学法学院,18,宪法学与行政法学,,
29,中国法学,2023,000,6,“枫桥经验”与当代中国纠纷解决机制结构变迁,彭小龙[1],[1]中国人民大学法学院,22,法学理论,,
30,中国法学,2018,,6,“枫桥经验”视野下的基层社会治理制度供给研究,汪世荣[1],[1]西北政法大学,18,法学理论,,
31,中国法学,2022,000,4,“法律脱嵌治理”：中国式邻避纠纷的制度成因及治理,何艳玲[1],[1]中国人民大学公共管理学院,19,民商法学,,
32,中国法学,2016,0,1,“法治中国”命题的理论逻辑及其展开,王旭,中国人民大学法学院,18,宪法学与行政法学,,
33,中国法学,2015,0,1,“特区租管地”：一种区域合作法律制度创新模式,董皞[1],[1]广州大学,17,宪法学与行政法学,,
34,中国法学,2019,,5,“犯罪所得投资收益”追缴的影响因素与判断规则,庄绪龙[1],[1]苏州大学王健法学院,20,刑法学,,
35,中国法学,2020,,1,“社会主义公共财产”的宪法定位:“合理利用”的规范内涵,李忠夏[1],[1]山东大学法学院,20,宪法学与行政法学,,
36,中国法学,2018,,1,“绿色原则”在民法典中的贯彻论纲,吕忠梅[1];竺效[2];巩固[3];刘长兴[4];刘超[5],[1]清华大学法学院;[2]中国人民大学法学院;[3]浙江大学光华法学院;[4]华南理工大学法学院;[5]华侨大学法学院,23,民商法学,,
37,中国法学,2017,,1,“蛋壳脑袋”规则之反思与解构,孙鹏,西南政法大学民商法学院,20,民商法学,,
38,中国法学,2017,,5,“裁执一体化”财产保全的逻辑与改革,刘君博,中央财经大学法学院,21,诉讼法学,,
39,中国法学,2019,,2,"""认""与""缴""二分视角下公司催缴出资制度研究",袁碧华[1],[1]广州大学法学院,19,民商法学,,
40,中国法学,2018,,4,“诉讼爆炸”的中国应对：基于W区法院近三十年审判实践的实证分析,左卫民,四川大学法学院,23,诉讼法学,,
41,中国法学,2024,000,6,“超期申请行政复议”的形成逻辑与体系化应对,范伟[1],[1]中国政法大学法律硕士学院,22,宪法学与行政法学,,
42,中国法学,2019,,6,“长臂管辖权”的法理分析与对策研究,肖永平[1],[1]武汉大学国际法研究所,27,国际法学,,
43,中国法学,2016,,3,“预防性”反恐刑事立法思考,何荣功,武汉大学法学院,19,刑法学,,
44,中国法学,2017,,2,《中华人民共和国民法总则》的制定,"张鸣起[1,2,3]",[1]十二届全国人民代表大会法律委员会;[2]中国法学会;[3]中国法学会民法典起草研究领导小组,20,民商法学,,
45,中国法学,2024,000,4,《刑事诉讼法》再修改之证据制度完善,张保生[1],[1]中国政法大学证据科学教育部重点实验室、司法文明协同创新中心、重罪检察证据分析研究基地,20,诉讼法学,,
46,中国法学,2019,,1,《大清律例》条标的运用与启示,王立民[1],[1]华东政法大学,18,法律史,,
47,中国法学,2023,000,3,《民法典》背景下劳动法与民法的关系,王全兴[1],[1]上海财经大学法学院,21,民商法学,,
48,中国法学,2022,000,4,《民法典》视域下的一般人格权,温世扬[1],[1]武汉大学法学院,18,民商法学,,
49,中国法学,2019,,3,《民法总则》民商合一中国模式之检讨,李建伟[1],[1]中国政法大学民商经济法学院,20,民商法学,,
50,中国法学,2023,000,2,《行政处罚法》主观过错条款适用展开,熊樟林[1],[1]东南大学法学院,20,宪法学与行政法学,,
51,中国法学,2018,,4,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,21,民商法学,民商法学,
52,中国法学,2016,0,1,上市公司私有化的监管逻辑与路径选择,李文莉,上海对外经贸大学法学院,16,民商法学,,
53,中国法学,2022,0,1,上市公司虚假陈述行政处罚内部责任人认定逻辑之改进,邢会强[1],[1]中央财经大学法学院,18,宪法学与行政法学,,
54,中国法学,2018,,1,不动产被征收人参与权的价值定位与制度重构,渠滢,华东政法大学中国法治战略研究中心,20,宪法学与行政法学,,
55,中国法学,2024,000,6,不当联结禁止原则的重述与应用,金成波[1],[1]中共中央党校(国家行政学院)政治和法律教研部,19,宪法学与行政法学,,
56,中国法学,2017,,1,不正当竞争行为认定中的实用主义批判,焦海涛,安徽大学法学院,20,经济法学,,
57,中国法学,2023,000,5,不确定鉴定意见的证据属性及功能,郭华[1],[1]中央财经大学法学院,16,诉讼法学,,
58,中国法学,2020,,4,不阻止他人犯罪的刑事责任,黎宏[1],[1]清华大学法学院,21,刑法学,,
59,中国法学,2024,000,1,世界刑事诉讼的四次革命,"冀祥德[1,2]",[1]中国社会科学院法学研究所;[2]中国社会科学院大学法学院,21,刑法学,,
60,中国法学,2015,0,4,东京审判与追究侵略之罪责,朱文奇,中国人民大学法学院,20,国际法学,,
61,中国法学,2021,0,1,个人信息国家保护义务及展开,王锡锌,教育部人文社会科学重点研究基地北京大学宪法与行政法研究中心,22,宪法学与行政法学,,
62,中国法学,2021,0,1,"个人信息处理中的""同意""与""同意撤回""",万方,北京外国语大学法学院,22,民商法学,,
63,中国法学,2022,000,5,个人信息处理者过错推定责任研究,王道发[1],[1]中央财经大学法学院,19,民商法学,,
64,中国法学,2019,,4,个人信息权作为民事权利之证成:以知识产权为参照,吕炳斌[1],[1]南京大学法学院,22,民商法学,,
65,中国法学,2020,,1,个人所得税纳税义务的法律建构,叶姗[1],[1]北京大学法学院,20,经济法学,,
66,中国法学,2024,000,5,个人数据交易的私法制度构造研究,夏庆锋[1],[1]安徽大学法学院,21,民商法学,,
67,中国法学,2021,,4,个人破产免责的理论基础与规范构建,徐阳光[1],[1]中国人民大学法学院,20,民商法学,,
68,中国法学,2024,000,2,中华法律文化之起源考,魏琼[1],[1]华东政法大学,19,法律史,,
69,中国法学,2021,,3,"中国""宪法实施""的话语体系与演变脉络",苗连营[1],[1]郑州大学法学院,20,宪法学与行政法学,,
70,中国法学,2017,,2,中国与“一带一路”国家税收协定优惠安排与适用争议研究,崔晓静,武汉大学法学院国际法所,21,国际法学,,
71,中国法学,2022,000,2,"中国人权法学""三大体系""论纲",刘志强[1],[1]广州大学人权研究院,19,法学理论,,
72,中国法学,2022,000,5,中国传统司法中的察狱以情及其现代价值,蒋铁初[1],[1]杭州师范大学沈钧儒法学院,19,刑法学,,
73,中国法学,2022,000,5,中国传统司法如何处置“真伪不明”,胡学军[1],[1]华东政法大学法律学院,20,法律史,,
74,中国法学,2021,,3,中国传统生态环境法文化及当代价值研究,柴荣[1],[1]北京师范大学法学院,18,环境与资源保护法学,,
75,中国法学,2016,0,6,中国减刑程序公平性的实证研究,林喜芬,上海交通大学凯原法学院,20,刑法学,,
76,中国法学,2025,000,2,中国刑法学自主知识体系的内涵阐释与建构路径,姚建龙[1],[1]上海社会科学院法学研究所,21,刑法学,,
77,中国法学,2017,,5,中国刑法立法晚近20年之回眸与前瞻,赵秉志,北京师范大学刑事法律科学研究院暨法学院,22,刑法学,,
78,中国法学,2016,0,1,中国参与国际气候治理的法律立场和策略：以气候正义为视角,曹明德,中国政法大学民商经济法学院,20,环境与资源保护法学,,
79,中国法学,2020,,6,中国参与极地全球治理的法治构建,杨华[1],[1]上海政法学院,20,民商法学,,
80,中国法学,2016,,4,中国反腐败立法的战略转型及其体系化构建,"刘艳红[1,2]",[1]东南大学反腐败法治研究中心;[2]东南大学法学院,27,刑法学,,
81,中国法学,2015,0,3,中国在南海的历史性权利,贾宇[1],[1]国家海洋局海洋发展战略研究所,25,法学理论,,
82,中国法学,2015,0,1,中国基层法院财政制度实证研究,左卫民[1],[1]四川大学法学院,15,诉讼法学,,
83,中国法学,2015,0,1,中国基本法文化的特征及其当代变迁,陈晓枫[1],[1]武汉大学法学院,17,法律史,,
84,中国法学,2015,0,4,中国大众平等观念评析,张永和,,19,法学理论,,
85,中国法学,2019,,2,"中国宪法上""社会主义市场经济""的规范结构",韩大元[1],[1]中国人民大学法学院,22,宪法学与行政法学,,
86,中国法学,2018,,4,中国宪法的环境观及其规范表达,张震,西南政法大学,18,宪法学与行政法学,,
87,中国法学,2018,,3,中国式影子银行的风险溯源与监管创新,郭雳,北京大学法学院,22,经济法学,,
88,中国法学,2025,000,1,中国式现代化之党规回应,宋功德[1],[1]中共中央办公厅法规局,24,党内法规学,,
89,中国法学,2025,000,1,中国式现代化背景下社会法体系的完善,"林嘉[1,2]",[1]中国人民大学法学院;[2]民商事法律科学研究中心,21,经济法学,,
90,中国法学,2024,000,4,中国式现代化视域下民事诉权的反思与重塑,任重[1],[1]清华大学法学院,21,诉讼法学,,
91,中国法学,2020,,3,中国律例统编的传统与现代民法体系中的指导性案例,张生[1],[1]中国社会科学院法学研究所,20,法律史,,
92,中国法学,2022,000,4,中国最高审判体制的刑民分立——传统与现代化,聂鑫[1],[1]清华大学法学院,18,刑法学,,
93,中国法学,2022,000,2,中国比较宪法学的重新定位与方法论重构,刘晗[1],[1]清华大学法学院,18,宪法学与行政法学,,
94,中国法学,2015,0,4,中国民法典编纂：观念、愿景与思路,薛军,[1]北京大学法学院,25,民商法学,,
95,中国法学,2018,,5,中国民法学的效率意识,"熊丙万[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学未来法治研究院,20,民商法学,,
96,中国法学,2015,0,2,中国法史及法史学研究反思——兼论学术研究的规律,马小红[1],[1]中国人民大学法学院,14,法律史,,
97,中国法学,2019,,6,中国法域外适用法律体系:现状、问题与完善,廖诗评[1],[1]北京师范大学法学院,19,国际法学,,
98,中国法学,2018,,5,中国法治主体性的文化向度,李拥军,吉林大学法学院,20,法学理论,,
99,中国法学,2022,000,6,中国法院“案多人少”的实证评估与应对策略,程金华[1],[1]上海交通大学凯原法学院,24,诉讼法学,,
100,中国法学,2022,000,6,中国特色刑法域外适用规则的问题与完善,蒋娜[1],[1]北京师范大学刑事法律科学研究院,19,国际法学,,
101,中国法学,2024,000,3,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林[1],[1]武汉大学法学院,20,刑法学,,
102,中国法学,2015,0,5,中国特色社会主义法治体系的理论基础、指导思想和基本构成,李龙,武汉大学法学院,15,法学理论,,
103,中国法学,2015,0,5,中国特色社会主义法治道路的时代进程,公丕祥,南京师范大学法学院,24,法学理论,,
104,中国法学,2023,000,5,中国环境司法的能动协同现象与形成发展逻辑,"张忠民[1,2]",[1]中南财经政法大学法学院;[2]中南财经政法大学生态文明研究院,22,环境与资源保护法学,,
105,中国法学,2022,000,5,中国知识产权制度现代化的实践与发展,吴汉东[1],[1]中南财经政法大学知识产权研究中心,20,知识产权法学,,
106,中国法学,2016,,2,中国语境下的“宪法实施”：一项概念史的考察,翟国强,中国社会科学院法学研究所,16,宪法学与行政法学,,
107,中国法学,2022,000,6,中国语境下的“检察权”概念考察,王海军[1],[1]华东政法大学法律史研究中心,20,诉讼法学,,
108,中国法学,2015,0,1,主任检察官制度研究,"最高人民检察院2013年重点课题组[1,2]",[1]复旦大学法学院;[2]上海市闵行区人民检察院,17,诉讼法学,,
109,中国法学,2023,000,6,主权原则在中国宪法中的展开,王理万[1],[1]中国政法大学人权研究院,20,宪法学与行政法学,,
110,中国法学,2025,000,1,主渠道目标导向下行政复议与行政诉讼衔接关系研究,曹鎏[1],[1]中国政法大学法治政府研究院,17,宪法学与行政法学,,
111,中国法学,2017,,3,习近平互联网法治思想研究,周汉华,中国社会科学院法学研究所,17,法学理论,,
112,中国法学,2017,,5,习近平全球治理与国际法治思想研究,黄进,中国政法大学,18,国际法学,,
113,中国法学,2019,,6,习近平总书记全面依法治国新理念新思想新战略:发展脉络、核心要义和时代意义,付子堂[1],[1]西南政法大学,13,法学理论,,
114,中国法学,2017,0,4,习近平文物事业法治思想研究,张舜玺,中国社会科学院法学研究所,18,法学理论,,
115,中国法学,2022,000,5,习近平法治思想中的构建新型诉讼格局理论,程琥[1],[1]北京市第一中级人民法院,19,法学理论,,
116,中国法学,2024,000,1,习近平法治思想中的社会公平正义理论研究,胡玉鸿[1],[1]华东政法大学人权研究院、习近平法治思想研究中心,20,法学理论,,
117,中国法学,2021,,3,"坚持抓住领导干部这个""关键少数""",陈训秋[1],[1]中国法学会,13,法学理论,,
118,中国法学,2021,,2,习近平法治思想是马克思主义法治理论中国化的新发展新飞跃,"王晨[1,2,3]",[1]中共中央政治局;[2]全国人大常委会;[3]中国法学会,15,法学理论,,
119,中国法学,2023,000,4,习近平法治思想的司法理论,游劝荣[1],[1]湖北省高级人民法院,21,诉讼法学,,
120,中国法学,2024,000,6,习近平法治思想的法治文明论,郭晔[1],[1]北京师范大学法学院,19,法律史,,
121,中国法学,2021,0,1,习近平法治思想的生态文明法治理论,吕忠梅,清华大学法学院,17,环境与资源保护法学,,
122,中国法学,2021,0,1,习近平法治思想要义的法理解读,卓泽渊,中共中央党校(国家行政学院),14,法学理论,,
123,中国法学,2016,,5,争议专属经济区内适度性执法研究,熊勇先,海南大学法学院,18,国际法学,,
124,中国法学,2015,0,2,事实因果与刑法中的结果归责,劳东燕[1],[1]清华大学法学院,29,刑法学,,
125,中国法学,2015,0,6,事实认定“难题”与法官独立审判责任落实,侣化强,重庆大学法学院,19,诉讼法学,,
126,中国法学,2020,,3,二审上诉问题重述:以认罪认罚案件为例,郭烁[1],[1]北京交通大学法学院,17,诉讼法学,,
127,中国法学,2020,,1,互构关系中社区矫正对象与性质定位研究,郑丽萍[1],[1]北京航空航天大学法学院,17,刑法学,,
128,中国法学,2024,000,1,互联网司法的正义体系,王福华[1],[1]上海交通大学凯原法学院,21,诉讼法学,,
129,中国法学,2022,000,4,互联网法院的时代创新与中国贡献,景汉朝[1],[1]中国法学会,25,诉讼法学,,
130,中国法学,2015,0,3,互联网金融风险规制路径,"杨东[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,18,经济法学,,
131,中国法学,2021,0,1,交易性贬值损失之赔偿,张红,武汉大学法学院,19,民商法学,,
132,中国法学,2024,000,6,人口老龄化背景下监护人承担侵权责任的体系解释,李国强[1],[1]大连海事大学法学院,19,民商法学,,
133,中国法学,2021,,2,人工智能歧视的法律治理,李成[1],[1]四川大学法学院,21,民商法学,,
134,中国法学,2021,,4,人格权侵害民事责任认定条款适用论,朱晓峰[1],[1]中央财经大学法学院,19,民商法学,,
135,中国法学,2015,0,3,人格权确认与构造的法律依据,韩强[1],[1]华东政法大学,21,民商法学,,
136,中国法学,2023,000,3,人格权编的中国范式与中国式现代化的实现,石佳友[1],[1]中国人民大学民商事法律科学研究中心,19,民商法学,,
137,中国法学,2023,000,4,人格标识的“他为性”及其规范影响,曹相见[1],[1]吉林大学理论法学研究中心、法学院,19,民商法学,,
138,中国法学,2023,000,3,人民团体规章：概念、体系和效力,屠凯[1],[1]清华大学法学院,20,党内法规学,,
139,中国法学,2021,,4,人民调解员的制度角色考,吴元元[1],[1]西南财经大学法学院,21,诉讼法学,,
140,中国法学,2024,000,6,人身损害赔偿请求权的分级与整合,张平华[1],[1]山东大学法学院,22,民商法学,,
141,中国法学,2016,,3,从合理原则走向统一的比例原则,杨登峰,南京师范大学法学院,18,宪法学与行政法学,,
142,中国法学,2024,000,4,从同一性到相似性：法律解释的结构转向与体系重构,陈辉[1],[1]南京师范大学法学院,18,法学理论,,
143,中国法学,2020,,4,从基础司改到综配司改:“内卷化”效应纾解,"杨力[1,2]",[1]上海交通大学中国法与社会研究院;[2]上海交通大学中国城市治理研究院,20,诉讼法学,,
144,中国法学,2022,000,4,从相邻权到空间利益公平分配权：规划许可诉讼中“合法权益”的内涵扩张,成协中[1],[1]中国政法大学法学院,19,民商法学,,
145,中国法学,2016,,2,从立案审查到立案登记：法院在社会转型中的司法角色,陆永棣,浙江省高级人民法院,21,诉讼法学,,
146,中国法学,2015,0,3,从隐私到个人信息：利益再衡量的理论与制度安排,张新宝,[1]中国人民大学法学院,22,民商法学,,
147,中国法学,2018,,2,以买卖合同担保借贷的解释路径与法效果,陈永强,中国计量大学法学院,20,民商法学,,
148,中国法学,2021,,4,以危险方法危害公共安全罪认定规则研究,江溯[1],[1]北京大学法学院,26,刑法学,,
149,中国法学,2017,,5,以古代中国与日本为中心的中华法系之律家考,何勤华,华东政法大学法律文明史研究院,20,法律史,,
150,中国法学,2024,000,5,以大协同格局加强涉外法治建设,郭雳[1],[1]北京大学法学院,6,国际法学,,
151,中国法学,2016,,2,以审判为中心背景下的刑事辩护突出问题研究,顾永忠,中国政法大学诉讼法学研究院,21,刑法学,,
152,中国法学,2022,000,3,企业合规不起诉改革的实体法障碍及其消除,黎宏[1],[1]清华大学法学院,20,刑法学,,
153,中国法学,2015,0,5,企业犯罪预防中合规计划制度的借鉴,"李本灿[1,2]",[1]山东大学法学院;[2]山东大学博士后流动站,29,刑法学,,
154,中国法学,2024,000,2,优先购买权中转让人的利益失衡与校正,"梁上上[1,2]",[1]清华大学法学院;[2]清华大学法学院新利益法学研究中心,21,民商法学,,
155,中国法学,2020,,5,传销犯罪的司法限缩与立法完善,"印波[1,2]",[1]北京师范大学刑事法律科学研究院;[2]中国企业家犯罪预防研究中心,20,刑法学,,
156,中国法学,2019,,2,作为利害调整法的行政法,王贵松[1],[1]中国人民大学法学院,20,宪法学与行政法学,,
157,中国法学,2020,,2,作为化解行政争议主渠道的行政复议:功能反思及路径优化,曹鎏[1],[1]中国政法大学法治政府研究院,20,宪法学与行政法学,,
158,中国法学,2016,,4,作为方法论的“地方法制”,葛洪义,浙江大学法学院,16,法学理论,,
159,中国法学,2021,,2,"作为行政处罚一般种类的""通报批评""",朱芒[1],[1]上海交通大学凯原法学院,18,宪法学与行政法学,,
160,中国法学,2021,,4,依法治国和依规治党有机统一研究,韩春晖[1],[1]中共中央党校(国家行政学院)政治和法律教研部,20,党内法规学,,
161,中国法学,2018,,1,依法治国语境下检察机关的性质与职权,魏晓娜,中国人民大学刑事法律科学研究中心,19,诉讼法学,,
162,中国法学,2024,000,6,侵害企业数据权益的民事责任,王叶刚[1],[1]中央财经大学法学院,21,民商法学,,
163,中国法学,2020,,4,侵权责任编:在承继中完善和创新,"张新宝[1,2]","[1]中国人民大学法学院,中国人民大学民商事法律科学中心;[2]中国法学会民法典编纂项目领导小组",21,民商法学,,
164,中国法学,2020,,4,保护规范理论的误解澄清与本土适用,赵宏[1],[1]中国政法大学法学院,19,宪法学与行政法学,,
165,中国法学,2020,,4,保险人撤销权:保险法中的一个制度选择及其合理性追问,"于海纯[1,2]",[1]对外经济贸易大学;[2]国家对外开放研究院,20,民商法学,,
166,中国法学,2019,,5,保险损失补偿原则适用范围思考,任自力[1],[1]北京航空航天大学法学院,20,民商法学,,
167,中国法学,2019,,2,信用、法治与现代经济增长的制度基础,王若磊[1],[1]中央党校政法部,17,法学理论,,
168,中国法学,2015,0,5,修复、矫治与分控：社区矫正机能三重性辩证及其展开,李川[1],[1]东南大学法学院,19,刑法学,,
169,中国法学,2024,000,4,债务人合法权益平等保护制度论纲,谭启平[1],[1]西南政法大学民商法学院,22,诉讼法学,,
170,中国法学,2020,,5,债权转让中对债务人的延续性保护,"朱虎[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,17,民商法学,,
171,中国法学,2024,000,5,健全保证宪法全面实施制度体系,韩大元[1],[1]中国人民大学法学院,6,宪法学与行政法学,,
172,中国法学,2024,000,5,健全公正执法司法体制机制,贺小荣[1],[1]最高人民法院党组,6,诉讼法学,,
173,中国法学,2019,,5,健康权的规范构造,陈云良[1],[1]广东外语外贸大学广东法治研究院,16,环境与资源保护法学,,
174,中国法学,2018,,3,儒家民族观影响下的中国古代民族法制,邵方,中国政法大学法律史学研究院,18,法律史,,
175,中国法学,2022,000,6,元宇宙治理法治化的理论定位与基本框架,王奇才[1],[1]上海师范大学哲学与法政学院,19,法学理论,,
176,中国法学,2022,000,6,元宇宙的行政规制路径：一个框架性分析,黄锫[1],[1]同济大学法学院,22,宪法学与行政法学,,
177,中国法学,2015,0,3,先公司合同问题研究,方斯远,最高人民法院中国应用法学研究所,22,民商法学,,
178,中国法学,2022,000,2,免罚清单的实证与法理,张淑芳[1],[1]上海财经大学法学院,21,宪法学与行政法学,,
179,中国法学,2019,,6,党内法规制定技术规范论纲,管华[1],[1]西北政法大学行政法学院,21,党内法规学,,
180,中国法学,2024,000,3,党内法规的概念分析,朱林方[1],[1]西南政法大学行政法学院,20,党内法规学,,
181,中国法学,2021,,5,党内法规的百年演进与治理之道,宋功德[1],[1]中共中央办公厅法规局,34,党内法规学,,
182,中国法学,2020,,1,党政联合发文的信息公开困境与规则重塑:基于司法裁判的分析,张力[1],[1]中国政法大学法学院,19,宪法学与行政法学,,
183,中国法学,2024,000,1,党领导立法的规范原理与构造,封丽霞[1],[1]中共中央党校(国家行政学院)政治和法律教研部,19,党内法规学,,
184,中国法学,2023,000,1,全国人大常委会授权的宪法定位及合宪性展开,秦小建[1],[1]中南财经政法大学法学院,19,宪法学与行政法学,,
185,中国法学,2018,,5,全球治理背景下人类命运共同体的阐释与构建,"廖凡[1,2]",[1]中国社会科学院国际法研究所;[2]最高人民法院＂一带一路＂司法研究基地,20,国际法学,,
186,中国法学,2017,,3,全球治理背景下国际税收秩序的挑战与变革,张泽平,华东政法大学,18,国际法学,,
187,中国法学,2023,000,3,全球经贸关系演变中的国际法治危机及其应对,刘敬东[1],[1]中国社会科学院国际法研究所,20,国际法学,,
188,中国法学,2015,0,4,全面深化改革中的民法典编纂,王利明,[1]中国人民大学;中国人民大学民商事法律科学研究中心,16,民商法学,,
189,中国法学,2022,000,5,公共健康危机的知识产权法应对,万勇[1],[1]中国人民大学法学院,19,知识产权法学,,
190,中国法学,2021,,5,公共卫生预警原则和机制建构研究,解志勇[1],[1]中国政法大学比较法学研究院,23,宪法学与行政法学,,
191,中国法学,2019,,4,公共服务供给权责配置研究,李蕊[1],[1]中国政法大学民商经济法学院,17,宪法学与行政法学,,
192,中国法学,2022,000,6,公司利益范式下的董事义务改革,傅穹[1],[1]吉林大学理论法学研究中心、法学院,22,民商法学,,
193,中国法学,2020,,5,公司法定代表人越权签署的担保合同效力规则的反思与重构,刘俊海[1],[1]中国人民大学法学院,20,民商法学,,
194,中国法学,2021,,2,公司法改革的文化拘束,蒋大兴[1],[1]北京大学法学院,23,民商法学,,
195,中国法学,2016,0,6,公司解散纠纷的司法实践和裁判规则改进,耿利航,山东大学法学院,23,民商法学,,
196,中国法学,2015,0,6,公司资本制度改革的正当性：基于债权人保护功能的法经济学分析,黄辉,香港中文大学法学院,20,民商法学,,
197,中国法学,2021,,5,公司软法定位及其与公司法的衔接,王兰[1],[1]厦门大学法学院,18,民商法学,,
198,中国法学,2015,0,6,公平公正待遇条款的法方法困境及出路,梁开银,浙江师范大学法政学院,21,国际法学,,
199,中国法学,2021,,3,公平竞争原则与政府规制变革,孙晋[1],[1]武汉大学法学院,22,宪法学与行政法学,,
200,中国法学,2016,0,6,公序良俗在我国的司法适用研究,蔡唱,湖南大学法学院,22,民商法学,,
201,中国法学,2021,,4,公民遵守劳动纪律义务的宪法变迁与启示,"阎天[1,2]",[1]北京大学宪法与行政法研究中心;[2]北京大学法学院,18,宪法学与行政法学,,
202,中国法学,2015,0,1,公私关系的认识论重建与国际法发展,蔡从燕[1],[1]厦门大学法学院,20,国际法学,,
203,中国法学,2023,000,5,共享经济财产容他权研究,付大学[1],[1]天津工业大学法学院,21,民商法学,,
204,中国法学,2020,,2,共同市场支配地位制度拓展适用于算法默示共谋研究,"时建中[1,2]",[1]中国政法大学;[2]中国政法大学法治经济研究院,19,经济法学,,
205,中国法学,2020,,2,共同市场支配地位的理论基础与规则构造,张晨颖[1],[1]清华大学法学院,21,经济法学,,
206,中国法学,2020,,2,共犯处罚根据论的反思与修正:新混合惹起说的提出,王昭武[1],[1]云南大学法学院,18,刑法学,,
207,中国法学,2015,0,6,内幕交易违法所得司法判断规则研究,刘宪权,华东政法大学,24,刑法学,,
208,中国法学,2023,000,6,再论建设用地使用权出让合同的民事属性,屈茂辉[1],[1]湖南大学法学院,21,民商法学,,
209,中国法学,2021,0,6,再论行政应急性原则:内涵、证立与展开,彭錞[1],[1]北京大学法学院,19,宪法学与行政法学,,
210,中国法学,2018,,4,再论辩护律师向犯罪嫌疑人、被告人核实证据,朱孝清,中国法学会,21,诉讼法学,,
211,中国法学,2015,0,4,农村土地流转的合宪性分析,李忠夏,[1]山东大学法学院,19,环境与资源保护法学,宪法学与行政法学,
