期刊,年份,题目,作者,作者机构,新主分类,新主分类概率,新次分类,新次分类概率
法学研究,2022,全过程人民民主的法治向度阐析,胡玉鸿[1],[1]华东政法大学人权研究院、习近平法治思想研究中心,法学理论,0.85,宪法学与行政法学,0.15
法学研究,2020,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青[1],[1]对外经济贸易大学法学院,民商法学,0.85,刑法学,0.15
法学研究,2016,刑法体系的合宪性调控——以“李斯特鸿沟”为视角,张翔,中国人民大学法学院教授,刑法学,0.9,宪法学与行政法学,0.1
法学研究,2016,反思财产法制建设中的“事前研究”方法,冉昊,中国社会科学院法学研究所,法学理论,0.85,民商法学,0.15
法学研究,2022,数字经济视域下包容审慎监管的法治逻辑,刘权[1],[1]中央财经大学法学院,宪法学与行政法学,0.85,经济法学,0.15
法学研究,2021,新时代行政审判因应诉源治理之道,章志远,华东政法大学,诉讼法学,0.9,宪法学与行政法学,0.1
法学研究,2024,法律关系范式之反思——以民事诉讼法为中心,袁中华[1],[1]中南财经政法大学法学院,法学理论,0.85,诉讼法学,0.15
法学研究,2016,涉诉信访治理的正当性与法治化——1978,2015年实践探索的分析,彭小龙-中国人民大学法学院,法学理论,0.85,诉讼法学,0.15
法学研究,2017,滥用知情权的逻辑及展开,王锡锌,北京大学法学院,宪法学与行政法学,0.85,法学理论,0.15
法学研究,2023,算法透明层次论,安晋城[1],[1]中国政法大学民商经济法学院,民商法学,0.85,经济法学,0.15
法学研究,2019,避税行为可罚性之探究,汤洁茵[1],[1]中国社会科学院大学政法学院,刑法学,0.85,经济法学,0.15
法学研究,2025,我国轻微犯罪记录封存制度构建研究,姚莉[1],[1]中南财经政法大学法学院,诉讼法学,0.85,刑法学,0.15
法学研究,2025,人工智能法学之类比方法及其省思：以AIGC著作权保护问题为例,吕炳斌[1],[1]复旦大学法学院,法学理论,0.85,知识产权法学,0.15
中国法学,2025,“正当信赖”的衡平检验,沈岿[1],[1]北京大学法学院,法学理论,0.85,宪法学与行政法学,0.15
中国法学,2025,法律中“忠”的义理与构造分析,瞿郑龙[1],[1]苏州大学王健法学院,法律史,0.9,法学理论,0.1
中国法学,2025,数字平台监管模式的系统论重构,余成峰[1],[1]北京航空航天大学法学院、人文与社会科学高等研究院,宪法学与行政法学,0.85,经济法学,0.15
中国法学,2025,生态环境损害预防性侵权责任的规范构造,徐以祥[1],[1]西南政法大学经济法学院,民商法学,0.9,环境与资源保护法学,0.1
